---
source: "AlAs. Data source: Dissertation, Vassil Palankovski (k data below 300K is GaAs data multiplied by room temp ratios)"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.5000000e+01	3.1694340e+05	6.2735780e+03
1.5186210e+01	3.2016100e+05	6.3236800e+03
1.5374730e+01	3.2341830e+05	6.3711500e+03
1.5565580e+01	3.2671560e+05	6.4157230e+03
1.5758810e+01	3.3005340e+05	6.4571170e+03
1.5954440e+01	3.3343190e+05	6.4950470e+03
1.6152500e+01	3.3685160e+05	6.5293610e+03
1.6353010e+01	3.4031280e+05	6.5600060e+03
1.6556010e+01	3.4381590e+05	6.5869370e+03
1.6761540e+01	3.4736120e+05	6.6101100e+03
1.6969610e+01	3.5094900e+05	6.6294850e+03
1.7180270e+01	3.5457980e+05	6.6450250e+03
1.7393540e+01	3.5825370e+05	6.6566980e+03
1.7609460e+01	3.6197130e+05	6.6644760e+03
1.7828060e+01	3.6573270e+05	6.6683370e+03
1.8049370e+01	3.6953820e+05	6.6682620e+03
1.8273440e+01	3.7338830e+05	6.6642390e+03
1.8500280e+01	3.7728310e+05	6.6562610e+03
1.8729940e+01	3.8122300e+05	6.6443280e+03
1.8962450e+01	3.8520830e+05	6.6284470e+03
1.9197840e+01	3.8923910e+05	6.6086320e+03
1.9436160e+01	3.9331570e+05	6.5849030e+03
1.9677440e+01	3.9743850e+05	6.5572920e+03
1.9921710e+01	4.0160750e+05	6.5258360e+03
2.0169020e+01	4.0582300e+05	6.4905830e+03
2.0419390e+01	4.1008520e+05	6.4515910e+03
2.0672870e+01	4.1439420e+05	6.4089280e+03
2.0929500e+01	4.1875030e+05	6.3626730e+03
2.1189320e+01	4.2315350e+05	6.3129170e+03
2.1452360e+01	4.2760400e+05	6.2597640e+03
2.1718660e+01	4.3210180e+05	6.2033300e+03
2.1988270e+01	4.3664700e+05	6.1437470e+03
2.2261230e+01	4.4123980e+05	6.0811600e+03
2.2537580e+01	4.4588000e+05	6.0157310e+03
2.2817360e+01	4.5056760e+05	5.9476110e+03
2.3100610e+01	4.5530270e+05	5.8769050e+03
2.3387370e+01	4.6008520e+05	5.8037170e+03
