---
source: "Aluminum. Source: Journal of Chemical and Engineering Data, Vol. 15, No. 4, 1970, p. 518"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.0000000e+00	1.3848830e+02	3.0199670e+02
1.0272090e+00	1.4234370e+02	3.0199670e+02
1.0551590e+00	1.4630790e+02	3.0199670e+02
1.0838690e+00	1.5038920e+02	3.0199670e+02
1.1133610e+00	1.5459720e+02	3.0199670e+02
1.1436550e+00	1.5894250e+02	3.0199670e+02
1.1747730e+00	1.6343690e+02	3.0199670e+02
1.2067380e+00	1.6809350e+02	3.0199670e+02
1.2395730e+00	1.7292200e+02	3.0199670e+02
1.2733010e+00	1.7792530e+02	3.0199670e+02
1.3079460e+00	1.8310520e+02	3.0199670e+02
1.3435350e+00	1.8846310e+02	3.0199670e+02
1.3800920e+00	1.9399950e+02	3.0199670e+02
1.4176430e+00	1.9971440e+02	3.0199670e+02
1.4562160e+00	2.0560670e+02	3.0199670e+02
1.4958390e+00	2.1167460e+02	3.0199670e+02
1.5365400e+00	2.1791660e+02	3.0199670e+02
1.5783490e+00	2.2433900e+02	3.0199670e+02
1.6212950e+00	2.3095180e+02	3.0199670e+02
1.6654090e+00	2.3776560e+02	3.0199670e+02
1.7107240e+00	2.4479230e+02	3.0199670e+02
1.7572720e+00	2.5204470e+02	3.0199670e+02
1.8050860e+00	2.5953690e+02	3.0199670e+02
1.8542010e+00	2.6728420e+02	3.0199670e+02
1.9046530e+00	2.7530350e+02	3.0199670e+02
1.9564780e+00	2.8361330e+02	3.0199670e+02
2.0097120e+00	2.9223360e+02	3.0199670e+02
2.0643950e+00	3.0118480e+02	3.0199670e+02
2.1205660e+00	3.1048380e+02	3.0199670e+02
2.1782660e+00	3.2014810e+02	3.0199670e+02
2.2375350e+00	3.3019640e+02	3.0199670e+02
2.2984170e+00	3.4064840e+02	3.0199670e+02
2.3609560e+00	3.5152520e+02	3.0199670e+02
2.4251960e+00	3.6284920e+02	3.0199670e+02
2.4911840e+00	3.7464440e+02	3.0199670e+02
2.5589680e+00	3.8693620e+02	3.0199670e+02
2.6285960e+00	3.9975190e+02	3.0199670e+02
2.7001190e+00	4.1312050e+02	3.0199670e+02
2.7735870e+00	4.2707290e+02	3.0199670e+02
2.8490550e+00	4.4164240e+02	3.0199670e+02
2.9265760e+00	4.5686430e+02	3.0199670e+02
3.0062070e+00	4.7277650e+02	3.0199670e+02
3.0880040e+00	4.8941940e+02	3.0199670e+02
3.1720270e+00	5.0683690e+02	3.0199670e+02
3.2583360e+00	5.2507560e+02	3.0199670e+02
3.3469930e+00	5.4418570e+02	3.0199670e+02
3.4380630e+00	5.6422120e+02	3.0199670e+02
3.5316110e+00	5.8523960e+02	3.0199670e+02
3.6277040e+00	6.0730290e+02	3.0199670e+02
3.7264110e+00	6.3047760e+02	3.0199670e+02
3.8278050e+00	6.5483520e+02	3.0199670e+02
3.9319570e+00	6.8045220e+02	3.0199670e+02
4.0389440e+00	7.0741110e+02	3.0199670e+02
4.1488410e+00	7.3579930e+02	3.0199670e+02
4.2617290e+00	7.6570850e+02	3.0199670e+02
4.3776880e+00	7.9723710e+02	3.0199670e+02
4.4968020e+00	8.3049060e+02	3.0199670e+02
4.6191570e+00	8.6558220e+02	3.0199670e+02
4.7448420e+00	9.0263320e+02	3.0199670e+02
4.8739470e+00	9.4177420e+02	3.0199670e+02
5.0065640e+00	9.8314490e+02	3.0199670e+02
5.1427900e+00	1.0268990e+03	3.0199670e+02
5.2827220e+00	1.0732100e+03	3.0199670e+02
5.4264620e+00	1.1222710e+03	3.0199670e+02
5.5741130e+00	1.1742880e+03	3.0199670e+02
5.7257810e+00	1.2294850e+03	3.0199670e+02
5.8815760e+00	1.2881050e+03	3.0199670e+02
6.0416110e+00	1.3504120e+03	3.0199670e+02
6.2059990e+00	1.4166800e+03	3.0199670e+02
6.3748610e+00	1.4871850e+03	3.0199670e+02
6.5483170e+00	1.5622210e+03	3.0199670e+02
6.7264930e+00	1.6421050e+03	3.0199670e+02
6.9095170e+00	1.7271760e+03	3.0199670e+02
7.0975210e+00	1.8177980e+03	3.0199670e+02
7.2906410e+00	1.9143680e+03	3.0199670e+02
7.4890150e+00	2.0173190e+03	3.0199670e+02
7.6927870e+00	2.1271160e+03	3.0199670e+02
7.9021030e+00	2.2442600e+03	3.0199670e+02
8.1171150e+00	2.3692960e+03	3.0199670e+02
