---
source: "Au_Cr Data source: 58 nm au plus 10 nm cr, weighted average"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.9500000e+02	2.0900000e+06	1.5500000e+02
2.1000000e+02	2.1300000e+06	1.6400000e+02
2.2500000e+02	2.1800000e+06	1.7700000e+02
2.4000000e+02	2.2000000e+06	1.8400000e+02
2.5500000e+02	2.2100000e+06	1.9000000e+02
2.7000000e+02	2.2400000e+06	1.8500000e+02
2.8500000e+02	2.2400000e+06	1.8400000e+02
3.0000000e+02	2.2700000e+06	1.8800000e+02
3.3000000e+02	2.3100000e+06	1.9900000e+02
3.6000000e+02	2.3300000e+06	2.0600000e+02
3.9000000e+02	2.3500000e+06	2.0900000e+02
4.2000000e+02	2.3900000e+06	2.3200000e+02
4.5000000e+02	2.3800000e+06	2.2200000e+02
4.8000000e+02	2.4300000e+06	2.4200000e+02
5.1000000e+02	2.4300000e+06	2.3900000e+02
5.4000000e+02	2.4500000e+06	2.3800000e+02
5.7000000e+02	2.5100000e+06	2.6300000e+02
6.0000000e+02	2.5000000e+06	2.3500000e+02
6.3000000e+02	2.5700000e+06	2.6000000e+02
