---
source: "Chromium Data source: thermophysical properties of matter vol.4 curve 4 plus curve6"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
6.0000000e+01	4.7526325e+05	2.0813307e+02
6.1000000e+01	4.9632929e+05	2.0655015e+02
6.2000000e+01	5.1758830e+05	2.0498783e+02
6.3000000e+01	5.3902692e+05	2.0344592e+02
6.4000000e+01	5.6063215e+05	2.0192425e+02
6.5000000e+01	5.8239136e+05	2.0042261e+02
6.6000000e+01	6.0429223e+05	1.9894082e+02
6.7000000e+01	6.2632281e+05	1.9747870e+02
6.8000000e+01	6.4847148e+05	1.9603606e+02
6.9000000e+01	6.7072693e+05	1.9461271e+02
7.0000000e+01	6.9307820e+05	1.9320846e+02
7.1000000e+01	7.1551461e+05	1.9182312e+02
7.2000000e+01	7.3802581e+05	1.9045652e+02
7.3000000e+01	7.6060176e+05	1.8910845e+02
7.4000000e+01	7.8323271e+05	1.8777874e+02
7.5000000e+01	8.0590919e+05	1.8646719e+02
7.6000000e+01	8.2862203e+05	1.8517362e+02
7.7000000e+01	8.5136233e+05	1.8389784e+02
7.8000000e+01	8.7412149e+05	1.8263966e+02
7.9000000e+01	8.9689114e+05	1.8139890e+02
8.0000000e+01	9.1966320e+05	1.8017537e+02
8.1000000e+01	9.4242985e+05	1.7896888e+02
8.2000000e+01	9.6518350e+05	1.7777924e+02
8.3000000e+01	9.8791684e+05	1.7660627e+02
8.4000000e+01	1.0106228e+06	1.7544977e+02
8.5000000e+01	1.0332945e+06	1.7430957e+02
8.6000000e+01	1.0559253e+06	1.7318547e+02
8.7000000e+01	1.0785090e+06	1.7207729e+02
8.8000000e+01	1.1010392e+06	1.7098483e+02
8.9000000e+01	1.1235101e+06	1.6990792e+02
9.0000000e+01	1.1459159e+06	1.6884636e+02
9.1000000e+01	1.1682512e+06	1.6779997e+02
9.2000000e+01	1.1905105e+06	1.6676856e+02
9.3000000e+01	1.2126889e+06	1.6575193e+02
9.4000000e+01	1.2347814e+06	1.6474992e+02
9.5000000e+01	1.2567832e+06	1.6376232e+02
9.6000000e+01	1.2786899e+06	1.6278894e+02
9.7000000e+01	1.3004971e+06	1.6182961e+02
9.8000000e+01	1.3222006e+06	1.6088414e+02
9.9000000e+01	1.3437964e+06	1.5995233e+02
1.0000000e+02	1.3652807e+06	1.5903400e+02
1.0100000e+02	1.3866499e+06	1.5812896e+02
1.0200000e+02	1.4079004e+06	1.5723703e+02
1.0300000e+02	1.4290289e+06	1.5635801e+02
1.0400000e+02	1.4500323e+06	1.5549173e+02
1.0500000e+02	1.4709075e+06	1.5463798e+02
1.0600000e+02	1.4916516e+06	1.5379660e+02
1.0700000e+02	1.5122620e+06	1.5296737e+02
1.0800000e+02	1.5327360e+06	1.5215013e+02
1.0900000e+02	1.5530712e+06	1.5134468e+02
1.1000000e+02	1.5732653e+06	1.5055084e+02
1.1100000e+02	1.5933161e+06	1.4976842e+02
1.1200000e+02	1.6132215e+06	1.4899724e+02
1.1300000e+02	1.6329796e+06	1.4823715e+02
1.1400000e+02	1.6525886e+06	1.4748797e+02
1.1500000e+02	1.6720469e+06	1.4674954e+02
1.1600000e+02	1.6913528e+06	1.4602170e+02
1.1700000e+02	1.7105049e+06	1.4530428e+02
1.1800000e+02	1.7295019e+06	1.4459711e+02
1.1900000e+02	1.7483424e+06	1.4390004e+02
1.2000000e+02	1.7670254e+06	1.4321291e+02
1.2100000e+02	1.7855499e+06	1.4253555e+02
1.2200000e+02	1.8039148e+06	1.4186782e+02
1.2300000e+02	1.8221194e+06	1.4120958e+02
1.2400000e+02	1.8401629e+06	1.4056068e+02
1.2500000e+02	1.8580446e+06	1.3992099e+02
1.2600000e+02	1.8757640e+06	1.3929035e+02
1.2700000e+02	1.8933206e+06	1.3866863e+02
1.2800000e+02	1.9107140e+06	1.3805570e+02
1.2900000e+02	1.9279439e+06	1.3745142e+02
1.3000000e+02	1.9450100e+06	1.3685566e+02
1.3100000e+02	1.9619122e+06	1.3626827e+02
1.3200000e+02	1.9786503e+06	1.3568915e+02
