---
source: "K. Pitzer, J. of Chem. Phys., 1938."
---

T (K)	rho_cp (J/m³K)	S (W/mK)
7.0000000e+01	3.3908690e+04	2.5000000e+03
7.3333330e+01	3.4471620e+04	2.5000000e+03
7.6666670e+01	3.6091060e+04	2.5000000e+03
8.0000000e+01	3.8752960e+04	2.5000000e+03
8.3333330e+01	4.2443290e+04	2.5000000e+03
8.6666670e+01	4.7148000e+04	2.5000000e+03
9.0000000e+01	5.2853070e+04	2.5000000e+03
9.3333330e+01	5.9544450e+04	2.5000000e+03
9.6666670e+01	6.7208110e+04	2.5000000e+03
1.0000000e+02	7.5830000e+04	2.5000000e+03
1.0333330e+02	8.5396090e+04	2.5000000e+03
1.0666670e+02	9.5892350e+04	2.5000000e+03
1.1000000e+02	1.0730470e+05	2.5000000e+03
1.1333330e+02	1.1961920e+05	2.5000000e+03
1.1666670e+02	1.3282170e+05	2.5000000e+03
1.2000000e+02	1.4689820e+05	2.5000000e+03
1.2333330e+02	1.6183470e+05	2.5000000e+03
1.2666670e+02	1.7761720e+05	2.5000000e+03
1.3000000e+02	1.9423150e+05	2.5000000e+03
1.3333330e+02	2.1166370e+05	2.5000000e+03
1.3666670e+02	2.2989970e+05	2.5000000e+03
1.4000000e+02	2.4892550e+05	2.5000000e+03
1.4333330e+02	2.6872710e+05	2.5000000e+03
1.4666670e+02	2.8929030e+05	2.5000000e+03
1.5000000e+02	3.1060120e+05	2.5000000e+03
1.5333330e+02	3.3264580e+05	2.5000000e+03
1.5666670e+02	3.5541000e+05	2.5000000e+03
1.6000000e+02	3.7887970e+05	2.5000000e+03
1.6333330e+02	4.0304090e+05	2.5000000e+03
1.6666670e+02	4.2787960e+05	2.5000000e+03
1.7000000e+02	4.5338180e+05	2.5000000e+03
1.7333330e+02	4.7953340e+05	2.5000000e+03
1.7666670e+02	5.0632030e+05	2.5000000e+03
1.8000000e+02	5.3372860e+05	2.5000000e+03
1.8333330e+02	5.6174410e+05	2.5000000e+03
1.8666670e+02	5.9035290e+05	2.5000000e+03
1.9000000e+02	6.1954100e+05	2.5000000e+03
1.9333330e+02	6.4929420e+05	2.5000000e+03
1.9666670e+02	6.7959850e+05	2.5000000e+03
2.0000000e+02	7.1044000e+05	2.5000000e+03
2.0333330e+02	7.4180450e+05	2.5000000e+03
2.0666670e+02	7.7367810e+05	2.5000000e+03
2.1000000e+02	8.0604660e+05	2.5000000e+03
2.1333330e+02	8.3889610e+05	2.5000000e+03
2.1666670e+02	8.7221250e+05	2.5000000e+03
2.2000000e+02	9.0598180e+05	2.5000000e+03
2.2333330e+02	9.4019000e+05	2.5000000e+03
2.2666670e+02	9.7482290e+05	2.5000000e+03
2.3000000e+02	1.0098670e+06	2.5000000e+03
2.3333330e+02	1.0453070e+06	2.5000000e+03
2.3666670e+02	1.0811300e+06	2.5000000e+03
2.4000000e+02	1.1173220e+06	2.5000000e+03
2.4333330e+02	1.1538680e+06	2.5000000e+03
2.4666670e+02	1.1907550e+06	2.5000000e+03
2.5000000e+02	1.2279690e+06	2.5000000e+03
2.5333330e+02	1.2654950e+06	2.5000000e+03
2.5666670e+02	1.3033190e+06	2.5000000e+03
2.6000000e+02	1.3414280e+06	2.5000000e+03
2.6333330e+02	1.3798070e+06	2.5000000e+03
2.6666670e+02	1.4184430e+06	2.5000000e+03
2.7000000e+02	1.4573210e+06	2.5000000e+03
2.7333330e+02	1.4964270e+06	2.5000000e+03
2.7666670e+02	1.5357480e+06	2.5000000e+03
2.8000000e+02	1.5752680e+06	2.5000000e+03
2.8333330e+02	1.6149750e+06	2.5000000e+03
2.8666670e+02	1.6548540e+06	2.5000000e+03
2.9000000e+02	1.6948910e+06	2.5000000e+03
2.9333330e+02	1.7350720e+06	2.5000000e+03
2.9666670e+02	1.7753830e+06	2.5000000e+03
3.0000000e+02	1.8158100e+06	2.5000000e+03
3.0333330e+02	1.8563390e+06	2.5000000e+03
3.0666670e+02	1.8969560e+06	2.5000000e+03
3.1000000e+02	1.9376470e+06	2.5000000e+03
3.1333330e+02	1.9783970e+06	2.5000000e+03
3.1666670e+02	2.0191930e+06	2.5000000e+03
3.2000000e+02	2.0600210e+06	2.5000000e+03
3.2333330e+02	2.1008670e+06	2.5000000e+03
3.2666670e+02	2.1417170e+06	2.5000000e+03
3.3000000e+02	2.1825560e+06	2.5000000e+03
3.3333330e+02	2.2233700e+06	2.5000000e+03
3.3666670e+02	2.2641470e+06	2.5000000e+03
3.4000000e+02	2.3048700e+06	2.5000000e+03
3.4333330e+02	2.3455280e+06	2.5000000e+03
3.4666670e+02	2.3861040e+06	2.5000000e+03
3.5000000e+02	2.4265860e+06	2.5000000e+03
3.5333330e+02	2.4669600e+06	2.5000000e+03
3.5666670e+02	2.5072100e+06	2.5000000e+03
3.6000000e+02	2.5473240e+06	2.5000000e+03
3.6333330e+02	2.5872880e+06	2.5000000e+03
3.6666670e+02	2.6270860e+06	2.5000000e+03
3.7000000e+02	2.6667060e+06	2.5000000e+03
3.7333330e+02	2.7061330e+06	2.5000000e+03
3.7666670e+02	2.7453530e+06	2.5000000e+03
3.8000000e+02	2.7843520e+06	2.5000000e+03
3.8333330e+02	2.8231160e+06	2.5000000e+03
3.8666670e+02	2.8616310e+06	2.5000000e+03
3.9000000e+02	2.8998830e+06	2.5000000e+03
3.9333330e+02	2.9378580e+06	2.5000000e+03
3.9666670e+02	2.9755410e+06	2.5000000e+03
4.0000000e+02	3.0129200e+06	2.5000000e+03
