---
source: "GaAs. Source: Blakemore, J. Appl. Phys. 53(10). October 1982"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
4.0000000e+00	2.2863100e+02	3.2913450e+02
4.0860260e+00	2.4752150e+02	3.5460220e+02
4.1739010e+00	2.6703950e+02	3.8142100e+02
4.2636670e+00	2.8727220e+02	4.0957720e+02
4.3553630e+00	3.0831570e+02	4.3905030e+02
4.4490310e+00	3.3027640e+02	4.6981140e+02
4.5447130e+00	3.5327160e+02	5.0182330e+02
4.6424540e+00	3.7743050e+02	5.3505980e+02
4.7422960e+00	4.0289500e+02	5.6951440e+02
4.8442860e+00	4.2982100e+02	6.0517760e+02
4.9484690e+00	4.5837970e+02	6.4203410e+02
5.0548920e+00	4.8875830e+02	6.8006270e+02
5.1636050e+00	5.2116200e+02	7.1923500e+02
5.2746550e+00	5.5581470e+02	7.5951550e+02
5.3880940e+00	5.9296130e+02	8.0086000e+02
5.5039730e+00	6.3286880e+02	8.4321550e+02
5.6223430e+00	6.7582840e+02	8.8651870e+02
5.7432590e+00	7.2215720e+02	9.3069550e+02
5.8667760e+00	7.7220040e+02	9.7565960e+02
5.9929490e+00	8.2633340e+02	1.0213120e+03
6.1218360e+00	8.8496430e+02	1.0675380e+03
6.2534940e+00	9.4853620e+02	1.1142090e+03
6.3879840e+00	1.0175300e+03	1.1611780e+03
6.5253670e+00	1.0924680e+03	1.2083110e+03
6.6657040e+00	1.1739160e+03	1.2556700e+03
6.8090590e+00	1.2624870e+03	1.3034210e+03
6.9554970e+00	1.3588450e+03	1.3517510e+03
7.1050850e+00	1.4637080e+03	1.4008730e+03
7.2578900e+00	1.5778550e+03	1.4510280e+03
7.4139800e+00	1.7021260e+03	1.5024870e+03
7.5734280e+00	1.8374310e+03	1.5555550e+03
7.7363050e+00	1.9847520e+03	1.6105720e+03
7.9026850e+00	2.1451500e+03	1.6679190e+03
8.0726440e+00	2.3197760e+03	1.7280170e+03
8.2462570e+00	2.5100670e+03	1.7913370e+03
8.4236040e+00	2.7178270e+03	1.8583990e+03
8.6047650e+00	2.9450390e+03	1.9297770e+03
8.7898230e+00	3.1938680e+03	2.0060050e+03
8.9788600e+00	3.4666730e+03	2.0869350e+03
9.1719630e+00	3.7660230e+03	2.1720590e+03
9.3692180e+00	4.0947140e+03	2.2607780e+03
9.5707160e+00	4.4557850e+03	2.3524010e+03
9.7765480e+00	4.8525400e+03	2.4461320e+03
9.9868060e+00	5.2885660e+03	2.5410600e+03
1.0201590e+01	5.7676640e+03	2.6361510e+03
1.0420990e+01	6.2935110e+03	2.7302350e+03
1.0645100e+01	6.8699280e+03	2.8220880e+03
1.0874040e+01	7.5010210e+03	2.9112780e+03
1.1107900e+01	8.1912030e+03	2.9978700e+03
1.1346790e+01	8.9452150e+03	3.0819590e+03
1.1590820e+01	9.7681490e+03	3.1636740e+03
1.1840100e+01	1.0665470e+04	3.2431770e+03
1.2094740e+01	1.1643050e+04	3.3206720e+03
1.2354850e+01	1.2706950e+04	3.3964040e+03
1.2620560e+01	1.3863350e+04	3.4706650e+03
1.2891980e+01	1.5118810e+04	3.5438010e+03
1.3169240e+01	1.6480350e+04	3.6161760e+03
1.3452460e+01	1.7955430e+04	3.6877050e+03
1.3741780e+01	1.9552050e+04	3.7579360e+03
1.4037310e+01	2.1278720e+04	3.8263590e+03
1.4339200e+01	2.3143800e+04	3.8924110e+03
1.4647590e+01	2.5154030e+04	3.9554670e+03
1.4962610e+01	2.7316090e+04	4.0148360e+03
1.5284400e+01	2.9636840e+04	4.0697580e+03
1.5613110e+01	3.2123420e+04	4.1193960e+03
1.5948890e+01	3.4783170e+04	4.1628380e+03
1.6291890e+01	3.7623570e+04	4.1994210e+03
1.6642270e+01	4.0651530e+04	4.2289480e+03
1.7000190e+01	4.3873780e+04	4.2512770e+03
1.7365800e+01	4.7297130e+04	4.2662860e+03
