---
source: "GaN Data source: C is from specific heat capacity of gallium nitride, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.0000000e+02	1.0725806e+06	3.6000000e+02
1.0100000e+02	1.0829229e+06	3.5643564e+02
1.0200000e+02	1.0932373e+06	3.5294118e+02
1.0300000e+02	1.1035237e+06	3.4951456e+02
1.0400000e+02	1.1137823e+06	3.4615385e+02
1.0500000e+02	1.1240129e+06	3.4285714e+02
1.0600000e+02	1.1342157e+06	3.3962264e+02
1.0700000e+02	1.1443905e+06	3.3644860e+02
1.0800000e+02	1.1545374e+06	3.3333333e+02
1.0900000e+02	1.1646564e+06	3.3027523e+02
1.1000000e+02	1.1747474e+06	3.2727273e+02
1.1100000e+02	1.1848106e+06	3.2432432e+02
1.1200000e+02	1.1948458e+06	3.2142857e+02
1.1300000e+02	1.2048531e+06	3.1858407e+02
1.1400000e+02	1.2148325e+06	3.1578947e+02
1.1500000e+02	1.2247840e+06	3.1304348e+02
1.1600000e+02	1.2347076e+06	3.1034483e+02
1.1700000e+02	1.2446033e+06	3.0769231e+02
1.1800000e+02	1.2544710e+06	3.0508475e+02
1.1900000e+02	1.2643109e+06	3.0252101e+02
1.2000000e+02	1.2741229e+06	3.0000000e+02
1.2100000e+02	1.2839070e+06	2.9752066e+02
1.2200000e+02	1.2936632e+06	2.9508197e+02
1.2300000e+02	1.3033915e+06	2.9268293e+02
1.2400000e+02	1.3130919e+06	2.9032258e+02
1.2500000e+02	1.3227645e+06	2.8800000e+02
1.2600000e+02	1.3324092e+06	2.8571429e+02
1.2700000e+02	1.3420261e+06	2.8346457e+02
1.2800000e+02	1.3516151e+06	2.8125000e+02
1.2900000e+02	1.3611763e+06	2.7906977e+02
1.3000000e+02	1.3707096e+06	2.7692308e+02
1.3100000e+02	1.3802152e+06	2.7480916e+02
1.3200000e+02	1.3896929e+06	2.7272727e+02
1.3300000e+02	1.3991428e+06	2.7067669e+02
1.3400000e+02	1.4085650e+06	2.6865672e+02
1.3500000e+02	1.4179593e+06	2.6666667e+02
1.3600000e+02	1.4273259e+06	2.6470588e+02
1.3700000e+02	1.4366648e+06	2.6277372e+02
1.3800000e+02	1.4459759e+06	2.6086957e+02
1.3900000e+02	1.4552593e+06	2.5899281e+02
1.4000000e+02	1.4645149e+06	2.5714286e+02
1.4100000e+02	1.4737429e+06	2.5531915e+02
1.4200000e+02	1.4829431e+06	2.5352113e+02
1.4300000e+02	1.4921157e+06	2.5174825e+02
1.4400000e+02	1.5012607e+06	2.5000000e+02
1.4500000e+02	1.5103780e+06	2.4827586e+02
1.4600000e+02	1.5194676e+06	2.4657534e+02
1.4700000e+02	1.5285297e+06	2.4489796e+02
1.4800000e+02	1.5375641e+06	2.4324324e+02
1.4900000e+02	1.5465710e+06	2.4161074e+02
1.5000000e+02	1.5555503e+06	2.4000000e+02
1.5100000e+02	1.5645020e+06	2.3841060e+02
1.5200000e+02	1.5734263e+06	2.3684211e+02
1.5300000e+02	1.5823230e+06	2.3529412e+02
1.5400000e+02	1.5911922e+06	2.3376623e+02
1.5500000e+02	1.6000340e+06	2.3225806e+02
1.5600000e+02	1.6088483e+06	2.3076923e+02
1.5700000e+02	1.6176351e+06	2.2929936e+02
1.5800000e+02	1.6263946e+06	2.2784810e+02
1.5900000e+02	1.6351267e+06	2.2641509e+02
1.6000000e+02	1.6438314e+06	2.2500000e+02
1.6100000e+02	1.6525087e+06	2.2360248e+02
1.6200000e+02	1.6611587e+06	2.2222222e+02
1.6300000e+02	1.6697814e+06	2.2085890e+02
1.6400000e+02	1.6783769e+06	2.1951220e+02
1.6500000e+02	1.6869450e+06	2.1818182e+02
1.6600000e+02	1.6954860e+06	2.1686747e+02
1.6700000e+02	1.7039997e+06	2.1556886e+02
1.6800000e+02	1.7124862e+06	2.1428571e+02
1.6900000e+02	1.7209456e+06	2.1301775e+02
1.7000000e+02	1.7293778e+06	2.1176471e+02
1.7100000e+02	1.7377829e+06	2.1052632e+02
1.7200000e+02	1.7461609e+06	2.0930233e+02
1.7300000e+02	1.7545118e+06	2.0809249e+02
1.7400000e+02	1.7628357e+06	2.0689655e+02
1.7500000e+02	1.7711326e+06	2.0571429e+02
1.7600000e+02	1.7794025e+06	2.0454545e+02
1.7700000e+02	1.7876454e+06	2.0338983e+02
1.7800000e+02	1.7958615e+06	2.0224719e+02
1.7900000e+02	1.8040506e+06	2.0111732e+02
1.8000000e+02	1.8122128e+06	2.0000000e+02
1.8100000e+02	1.8203482e+06	1.9889503e+02
1.8200000e+02	1.8284567e+06	1.9780220e+02
1.8300000e+02	1.8365385e+06	1.9672131e+02
1.8400000e+02	1.8445935e+06	1.9565217e+02
1.8500000e+02	1.8526218e+06	1.9459459e+02
1.8600000e+02	1.8606234e+06	1.9354839e+02
1.8700000e+02	1.8685983e+06	1.9251337e+02
1.8800000e+02	1.8765465e+06	1.9148936e+02
1.8900000e+02	1.8844682e+06	1.9047619e+02
1.9000000e+02	1.8923632e+06	1.8947368e+02
1.9100000e+02	1.9002318e+06	1.8848168e+02
1.9200000e+02	1.9080738e+06	1.8750000e+02
1.9300000e+02	1.9158893e+06	1.8652850e+02
1.9400000e+02	1.9236784e+06	1.8556701e+02
1.9500000e+02	1.9314411e+06	1.8461538e+02
1.9600000e+02	1.9391773e+06	1.8367347e+02
1.9700000e+02	1.9468873e+06	1.8274112e+02
1.9800000e+02	1.9545709e+06	1.8181818e+02
1.9900000e+02	1.9622282e+06	1.8090452e+02
2.0000000e+02	1.9698593e+06	1.8000000e+02
2.0100000e+02	1.9774641e+06	1.7910448e+02
2.0200000e+02	1.9850428e+06	1.7821782e+02
2.0300000e+02	1.9925953e+06	1.7733990e+02
2.0400000e+02	2.0001218e+06	1.7647059e+02
2.0500000e+02	2.0076221e+06	1.7560976e+02
2.0600000e+02	2.0150964e+06	1.7475728e+02
2.0700000e+02	2.0225448e+06	1.7391304e+02
2.0800000e+02	2.0299671e+06	1.7307692e+02
2.0900000e+02	2.0373635e+06	1.7224880e+02
2.1000000e+02	2.0447341e+06	1.7142857e+02
2.1100000e+02	2.0520788e+06	1.7061611e+02
2.1200000e+02	2.0593976e+06	1.6981132e+02
2.1300000e+02	2.0666907e+06	1.6901408e+02
2.1400000e+02	2.0739581e+06	1.6822430e+02
2.1500000e+02	2.0811997e+06	1.6744186e+02
2.1600000e+02	2.0884157e+06	1.6666667e+02
2.1700000e+02	2.0956061e+06	1.6589862e+02
2.1800000e+02	2.1027709e+06	1.6513761e+02
2.1900000e+02	2.1099101e+06	1.6438356e+02
2.2000000e+02	2.1170239e+06	1.6363636e+02
2.2100000e+02	2.1241122e+06	1.6289593e+02
2.2200000e+02	2.1311750e+06	1.6216216e+02
2.2300000e+02	2.1382125e+06	1.6143498e+02
2.2400000e+02	2.1452246e+06	1.6071429e+02
2.2500000e+02	2.1522115e+06	1.6000000e+02
2.2600000e+02	2.1591730e+06	1.5929204e+02
2.2700000e+02	2.1661094e+06	1.5859031e+02
2.2800000e+02	2.1730206e+06	1.5789474e+02
2.2900000e+02	2.1799066e+06	1.5720524e+02
2.3000000e+02	2.1867676e+06	1.5652174e+02
2.3100000e+02	2.1936035e+06	1.5584416e+02
2.3200000e+02	2.2004144e+06	1.5517241e+02
2.3300000e+02	2.2072004e+06	1.5450644e+02
2.3400000e+02	2.2139614e+06	1.5384615e+02
2.3500000e+02	2.2206975e+06	1.5319149e+02
2.3600000e+02	2.2274089e+06	1.5254237e+02
2.3700000e+02	2.2340954e+06	1.5189873e+02
2.3800000e+02	2.2407572e+06	1.5126050e+02
2.3900000e+02	2.2473943e+06	1.5062762e+02
2.4000000e+02	2.2540067e+06	1.5000000e+02
2.4100000e+02	2.2605945e+06	1.4937759e+02
2.4200000e+02	2.2671578e+06	1.4876033e+02
2.4300000e+02	2.2736966e+06	1.4814815e+02
2.4400000e+02	2.2802108e+06	1.4754098e+02
2.4500000e+02	2.2867007e+06	1.4693878e+02
2.4600000e+02	2.2931661e+06	1.4634146e+02
2.4700000e+02	2.2996073e+06	1.4574899e+02
2.4800000e+02	2.3060241e+06	1.4516129e+02
2.4900000e+02	2.3124167e+06	1.4457831e+02
2.5000000e+02	2.3187851e+06	1.4400000e+02
2.5100000e+02	2.3251294e+06	1.4342629e+02
2.5200000e+02	2.3314495e+06	1.4285714e+02
2.5300000e+02	2.3377456e+06	1.4229249e+02
2.5400000e+02	2.3440177e+06	1.4173228e+02
2.5500000e+02	2.3502659e+06	1.4117647e+02
2.5600000e+02	2.3564901e+06	1.4062500e+02
2.5700000e+02	2.3626905e+06	1.4007782e+02
2.5800000e+02	2.3688670e+06	1.3953488e+02
2.5900000e+02	2.3750198e+06	1.3899614e+02
2.6000000e+02	2.3811489e+06	1.3846154e+02
2.6100000e+02	2.3872543e+06	1.3793103e+02
2.6200000e+02	2.3933361e+06	1.3740458e+02
2.6300000e+02	2.3993943e+06	1.3688213e+02
2.6400000e+02	2.4054290e+06	1.3636364e+02
2.6500000e+02	2.4114403e+06	1.3584906e+02
2.6600000e+02	2.4174281e+06	1.3533835e+02
2.6700000e+02	2.4233926e+06	1.3483146e+02
2.6800000e+02	2.4293337e+06	1.3432836e+02
2.6900000e+02	2.4352516e+06	1.3382900e+02
2.7000000e+02	2.4411462e+06	1.3333333e+02
2.7100000e+02	2.4470177e+06	1.3284133e+02
2.7200000e+02	2.4528661e+06	1.3235294e+02
2.7300000e+02	2.4586914e+06	1.3186813e+02
2.7400000e+02	2.4644937e+06	1.3138686e+02
2.7500000e+02	2.4702730e+06	1.3090909e+02
2.7600000e+02	2.4760294e+06	1.3043478e+02
2.7700000e+02	2.4817630e+06	1.2996390e+02
2.7800000e+02	2.4874737e+06	1.2949640e+02
2.7900000e+02	2.4931617e+06	1.2903226e+02
2.8000000e+02	2.4988270e+06	1.2857143e+02
2.8100000e+02	2.5044697e+06	1.2811388e+02
2.8200000e+02	2.5100897e+06	1.2765957e+02
2.8300000e+02	2.5156873e+06	1.2720848e+02
2.8400000e+02	2.5212623e+06	1.2676056e+02
2.8500000e+02	2.5268149e+06	1.2631579e+02
2.8600000e+02	2.5323451e+06	1.2587413e+02
2.8700000e+02	2.5378529e+06	1.2543554e+02
2.8800000e+02	2.5433385e+06	1.2500000e+02
2.8900000e+02	2.5488019e+06	1.2456747e+02
2.9000000e+02	2.5542431e+06	1.2413793e+02
2.9100000e+02	2.5596622e+06	1.2371134e+02
2.9200000e+02	2.5650592e+06	1.2328767e+02
2.9300000e+02	2.5704342e+06	1.2286689e+02
2.9400000e+02	2.5757873e+06	1.2244898e+02
2.9500000e+02	2.5811184e+06	1.2203390e+02
2.9600000e+02	2.5864278e+06	1.2162162e+02
2.9700000e+02	2.5917153e+06	1.2121212e+02
2.9800000e+02	2.5969811e+06	1.2080537e+02
2.9900000e+02	2.6022252e+06	1.2040134e+02
3.0000000e+02	2.6074477e+06	1.2000000e+02
3.0100000e+02	2.6126486e+06	1.1960133e+02
3.0200000e+02	2.6178280e+06	1.1920530e+02
3.0300000e+02	2.6229860e+06	1.1881188e+02
3.0400000e+02	2.6281225e+06	1.1842105e+02
3.0500000e+02	2.6332377e+06	1.1803279e+02
3.0600000e+02	2.6383316e+06	1.1764706e+02
3.0700000e+02	2.6434043e+06	1.1726384e+02
3.0800000e+02	2.6484558e+06	1.1688312e+02
3.0900000e+02	2.6534862e+06	1.1650485e+02
3.1000000e+02	2.6584955e+06	1.1612903e+02
3.1100000e+02	2.6634838e+06	1.1575563e+02
3.1200000e+02	2.6684511e+06	1.1538462e+02
3.1300000e+02	2.6733976e+06	1.1501597e+02
3.1400000e+02	2.6783232e+06	1.1464968e+02
3.1500000e+02	2.6832280e+06	1.1428571e+02
3.1600000e+02	2.6881121e+06	1.1392405e+02
3.1700000e+02	2.6929755e+06	1.1356467e+02
3.1800000e+02	2.6978183e+06	1.1320755e+02
3.1900000e+02	2.7026406e+06	1.1285266e+02
3.2000000e+02	2.7074424e+06	1.1250000e+02
3.2100000e+02	2.7122237e+06	1.1214953e+02
3.2200000e+02	2.7169846e+06	1.1180124e+02
3.2300000e+02	2.7217253e+06	1.1145511e+02
3.2400000e+02	2.7264456e+06	1.1111111e+02
3.2500000e+02	2.7311458e+06	1.1076923e+02
3.2600000e+02	2.7358258e+06	1.1042945e+02
3.2700000e+02	2.7404857e+06	1.1009174e+02
3.2800000e+02	2.7451255e+06	1.0975610e+02
3.2900000e+02	2.7497454e+06	1.0942249e+02
3.3000000e+02	2.7543454e+06	1.0909091e+02
3.3100000e+02	2.7589255e+06	1.0876133e+02
3.3200000e+02	2.7634858e+06	1.0843373e+02
3.3300000e+02	2.7680264e+06	1.0810811e+02
3.3400000e+02	2.7725473e+06	1.0778443e+02
3.3500000e+02	2.7770486e+06	1.0746269e+02
3.3600000e+02	2.7815303e+06	1.0714286e+02
3.3700000e+02	2.7859924e+06	1.0682493e+02
3.3800000e+02	2.7904352e+06	1.0650888e+02
3.3900000e+02	2.7948585e+06	1.0619469e+02
3.4000000e+02	2.7992626e+06	1.0588235e+02
3.4100000e+02	2.8036473e+06	1.0557185e+02
3.4200000e+02	2.8080128e+06	1.0526316e+02
3.4300000e+02	2.8123592e+06	1.0495627e+02
3.4400000e+02	2.8166865e+06	1.0465116e+02
3.4500000e+02	2.8209948e+06	1.0434783e+02
3.4600000e+02	2.8252840e+06	1.0404624e+02
