---
source: "Gold Data source: thermophysical properties of matter vol.4 curve 1 plus curve2, vol.1"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
6.0000000e+01	1.6257602e+06	3.2867218e+02
6.1000000e+01	1.6458265e+06	3.2863518e+02
6.2000000e+01	1.6652951e+06	3.2859807e+02
6.3000000e+01	1.6841779e+06	3.2856085e+02
6.4000000e+01	1.7024873e+06	3.2852353e+02
6.5000000e+01	1.7202359e+06	3.2848611e+02
6.6000000e+01	1.7374366e+06	3.2844857e+02
6.7000000e+01	1.7541028e+06	3.2841094e+02
6.8000000e+01	1.7702476e+06	3.2837319e+02
6.9000000e+01	1.7858848e+06	3.2833535e+02
7.0000000e+01	1.8010279e+06	3.2829740e+02
7.1000000e+01	1.8156909e+06	3.2825934e+02
7.2000000e+01	1.8298875e+06	3.2822118e+02
7.3000000e+01	1.8436315e+06	3.2818292e+02
7.4000000e+01	1.8569368e+06	3.2814455e+02
7.5000000e+01	1.8698173e+06	3.2810608e+02
7.6000000e+01	1.8822866e+06	3.2806750e+02
7.7000000e+01	1.8943585e+06	3.2802883e+02
7.8000000e+01	1.9060464e+06	3.2799005e+02
7.9000000e+01	1.9173637e+06	3.2795116e+02
8.0000000e+01	1.9283238e+06	3.2791218e+02
8.1000000e+01	1.9389395e+06	3.2787309e+02
8.2000000e+01	1.9492239e+06	3.2783389e+02
8.3000000e+01	1.9591894e+06	3.2779460e+02
8.4000000e+01	1.9688486e+06	3.2775520e+02
8.5000000e+01	1.9782136e+06	3.2771571e+02
8.6000000e+01	1.9872963e+06	3.2767611e+02
8.7000000e+01	1.9961084e+06	3.2763641e+02
8.8000000e+01	2.0046611e+06	3.2759660e+02
8.9000000e+01	2.0129657e+06	3.2755670e+02
9.0000000e+01	2.0210327e+06	3.2751669e+02
9.1000000e+01	2.0288728e+06	3.2747659e+02
9.2000000e+01	2.0364960e+06	3.2743638e+02
9.3000000e+01	2.0439121e+06	3.2739607e+02
9.4000000e+01	2.0511308e+06	3.2735567e+02
9.5000000e+01	2.0581612e+06	3.2731516e+02
9.6000000e+01	2.0650122e+06	3.2727455e+02
9.7000000e+01	2.0716922e+06	3.2723384e+02
9.8000000e+01	2.0782096e+06	3.2719304e+02
9.9000000e+01	2.0845722e+06	3.2715213e+02
1.0000000e+02	2.0907874e+06	3.2711112e+02
1.0100000e+02	2.0968627e+06	3.2707002e+02
1.0200000e+02	2.1028048e+06	3.2702882e+02
1.0300000e+02	2.1086204e+06	3.2698751e+02
1.0400000e+02	2.1143157e+06	3.2694611e+02
1.0500000e+02	2.1198966e+06	3.2690461e+02
1.0600000e+02	2.1253688e+06	3.2686301e+02
1.0700000e+02	2.1307377e+06	3.2682132e+02
1.0800000e+02	2.1360081e+06	3.2677952e+02
1.0900000e+02	2.1411850e+06	3.2673763e+02
1.1000000e+02	2.1462726e+06	3.2669564e+02
1.1100000e+02	2.1512753e+06	3.2665356e+02
1.1200000e+02	2.1561968e+06	3.2661137e+02
1.1300000e+02	2.1610408e+06	3.2656909e+02
1.1400000e+02	2.1658106e+06	3.2652671e+02
1.1500000e+02	2.1705095e+06	3.2648424e+02
1.1600000e+02	2.1751401e+06	3.2644167e+02
1.1700000e+02	2.1797052e+06	3.2639900e+02
1.1800000e+02	2.1842071e+06	3.2635623e+02
