---
source: "Gold_new (rho_cp) + Thermal_conductivity_pureAu.xlsx (Sz/Sr)"
date: "2026-05-02"
notes: "52nm Au without Ti adhesion layer. rho_cp from gold_new, Sz/Sr from pure Au conductivity data"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
2.5000000e+02	2.4460000e+06	1.7150068e+02
2.5098381e+02	2.4449700e+06	1.7169018e+02
2.5993934e+02	2.4534800e+06	1.7341516e+02
2.7148201e+02	2.4666300e+06	1.7551860e+02
2.8302469e+02	2.4766900e+06	1.7746845e+02
2.9476638e+02	2.4882900e+06	1.7936784e+02
2.9815000e+02	2.4830000e+06	1.7988669e+02
3.0000000e+02	2.4840000e+06	1.8017038e+02
3.0750313e+02	2.4950000e+06	1.8128815e+02
3.2939441e+02	2.5035100e+06	1.8433216e+02
3.4869854e+02	2.5117600e+06	1.8676637e+02
