---
source: "Combined from Heat_capacity_Au.xlsx and Thermal_conductivity_Au.xlsx"
date: "2026-06-02"
notes: "Gold thin film material properties"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.0000000e+02	2.1080000e+06	8.8032985e+01
1.0053099e+02	2.1117900e+06	8.8292836e+01
1.0451122e+02	2.1334500e+06	9.0240644e+01
1.0968553e+02	2.1685200e+06	9.2772800e+01
1.1466082e+02	2.1935400e+06	9.5207561e+01
1.2242227e+02	2.2118500e+06	9.8864823e+01
1.2500943e+02	2.2368600e+06	9.9980344e+01
1.3137780e+02	2.2551700e+06	1.0272623e+02
1.4053234e+02	2.2768300e+06	1.0664933e+02
1.4809478e+02	2.2966900e+06	1.0956738e+02
1.5000000e+02	2.3020000e+06	1.1030253e+02
1.5326908e+02	2.3085500e+06	1.1156394e+02
1.6222461e+02	2.3268600e+06	1.1493408e+02
1.7257321e+02	2.3467200e+06	1.1852970e+02
1.8033467e+02	2.3583200e+06	1.2121505e+02
1.8550897e+02	2.3683800e+06	1.2283703e+02
2.0000000e+02	2.3920000e+06	1.2737951e+02
2.0083287e+02	2.3833400e+06	1.2761686e+02
2.0600717e+02	2.3918500e+06	1.2909144e+02
2.1376863e+02	2.4034500e+06	1.3130332e+02
2.2789846e+02	2.4217600e+06	1.3513189e+02
2.4202829e+02	2.4333600e+06	1.3875954e+02
2.5000000e+02	2.4460000e+06	1.4065609e+02
2.5098381e+02	2.4449700e+06	1.4089014e+02
2.5993934e+02	2.4534800e+06	1.4302076e+02
2.7148201e+02	2.4666300e+06	1.4553132e+02
2.8302469e+02	2.4766900e+06	1.4798612e+02
2.9476638e+02	2.4882900e+06	1.5032703e+02
2.9815000e+02	2.4830000e+06	1.5100161e+02
3.0000000e+02	2.4840000e+06	1.5137044e+02
3.0750313e+02	2.4950000e+06	1.5273958e+02
3.2939441e+02	2.5035100e+06	1.5665481e+02
3.4869854e+02	2.5117600e+06	1.5996483e+02
3.6919674e+02	2.5184600e+06	1.6358525e+02
3.9367518e+02	2.5282600e+06	1.6752614e+02
4.0000000e+02	2.5400000e+06	1.6841554e+02
