---
source: "Converted from Material_new/ xlsx data"
date: "AI_FDTRFit"
notes: ""
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
2.5000000e+02	2.4460000e+06	1.5096181e+02
2.5098381e+02	2.4449700e+06	1.5229653e+02
2.5993934e+02	2.4534800e+06	1.6095228e+02
2.7148201e+02	2.4666300e+06	1.6475085e+02
2.8302469e+02	2.4766900e+06	1.5363389e+02
2.9476638e+02	2.4882900e+06	1.4209653e+02
2.9815000e+02	2.4830000e+06	1.4255217e+02
3.0000000e+02	2.4840000e+06	1.4297182e+02
3.0750313e+02	2.4950000e+06	1.4560645e+02
3.2939441e+02	2.5035100e+06	1.5502031e+02
3.4869854e+02	2.5117600e+06	1.5784300e+02
