---
source: "Data source:"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
1.0000000e+02	2.9494010e+05	1.6796310e+01	3.1218092e+03
1.0505050e+02	3.2869490e+05	1.6284420e+01	3.2070178e+03
1.1010100e+02	3.6246310e+05	1.5788470e+01	3.2738750e+03
1.1515150e+02	3.9624170e+05	1.5308100e+01	3.3242473e+03
1.2020200e+02	4.3002750e+05	1.4842970e+01	3.3598354e+03
1.2525250e+02	4.6381750e+05	1.4392720e+01	3.3821885e+03
1.3030300e+02	4.9760840e+05	1.3957020e+01	3.3927255e+03
1.3535350e+02	5.3139710e+05	1.3535530e+01	3.3927361e+03
1.4040400e+02	5.6518050e+05	1.3127900e+01	3.3833920e+03
1.4545450e+02	5.9895550e+05	1.2733810e+01	3.3657650e+03
1.5050510e+02	6.3271890e+05	1.2352920e+01	3.3408237e+03
1.5555560e+02	6.6646760e+05	1.1984930e+01	3.3094610e+03
1.6060610e+02	7.0019840e+05	1.1629490e+01	3.2724722e+03
1.6565660e+02	7.3390830e+05	1.1286310e+01	3.2305922e+03
1.7070710e+02	7.6759410e+05	1.0955070e+01	3.1844811e+03
1.7575760e+02	8.0125260e+05	1.0635460e+01	3.1347370e+03
1.8080810e+02	8.3488070e+05	1.0327180e+01	3.0819052e+03
1.8585860e+02	8.6847530e+05	1.0029920e+01	3.0264712e+03
1.9090910e+02	9.0203330e+05	9.7433930e+00	2.9688810e+03
1.9595960e+02	9.3555150e+05	9.4673060e+00	2.9095341e+03
2.0101010e+02	9.6902670e+05	9.2013710e+00	2.8487905e+03
2.0606060e+02	1.0024560e+06	8.9453040e+00	2.7869721e+03
2.1111110e+02	1.0358360e+06	8.6988240e+00	2.7243708e+03
2.1616160e+02	1.0691640e+06	8.4616560e+00	2.6612450e+03
2.2121210e+02	1.1024360e+06	8.2335270e+00	2.5978284e+03
2.2626260e+02	1.1356490e+06	8.0141690e+00	2.5343271e+03
2.3131310e+02	1.1688010e+06	7.8033190e+00	2.4709272e+03
2.3636360e+02	1.2018880e+06	7.6007160e+00	2.4077905e+03
2.4141410e+02	1.2349070e+06	7.4061040e+00	2.3450628e+03
2.4646460e+02	1.2678550e+06	7.2192310e+00	2.2828710e+03
2.5151520e+02	1.3007290e+06	7.0398480e+00	2.2213269e+03
2.5656570e+02	1.3335250e+06	6.8677110e+00	2.1605276e+03
2.6161620e+02	1.3662410e+06	6.7025800e+00	2.1005577e+03
2.6666670e+02	1.3988730e+06	6.5442190e+00	2.0414894e+03
2.7171720e+02	1.4314180e+06	6.3923950e+00	1.9833863e+03
2.7676770e+02	1.4638730e+06	6.2468800e+00	1.9262992e+03
2.8181820e+02	1.4962350e+06	6.1074500e+00	1.8702734e+03
2.8686870e+02	1.5285010e+06	5.9738830e+00	1.8153442e+03
2.9191920e+02	1.5606680e+06	5.8459630e+00	1.7615406e+03
2.9696970e+02	1.5927320e+06	5.7234790e+00	1.7088860e+03
3.0202020e+02	1.6246910e+06	5.6062210e+00	1.6573963e+03
3.0707070e+02	1.6565410e+06	5.4939840e+00	1.6070843e+03
3.1212120e+02	1.6882780e+06	5.3865690e+00	1.5579568e+03
3.1717170e+02	1.7199010e+06	5.2837780e+00	1.5100171e+03
3.2222220e+02	1.7514060e+06	5.1854190e+00	1.4632651e+03
3.2727270e+02	1.7827890e+06	5.0913020e+00	1.4176965e+03
3.3232320e+02	1.8140480e+06	5.0012440e+00	1.3733056e+03
3.3737370e+02	1.8451800e+06	4.9150640e+00	1.3300827e+03
3.4242420e+02	1.8761810e+06	4.8325840e+00	1.2880170e+03
3.4747470e+02	1.9070480e+06	4.7536320e+00	1.2470954e+03
3.5252530e+02	1.9377770e+06	4.6780380e+00	1.2073024e+03
3.5757580e+02	1.9683670e+06	4.6056390e+00	1.1686224e+03
3.6262630e+02	1.9988140e+06	4.5362730e+00	1.1310376e+03
3.6767680e+02	2.0291140e+06	4.4697830e+00	1.0945292e+03
3.7272730e+02	2.0592650e+06	4.4060160e+00	1.0590780e+03
3.7777780e+02	2.0892630e+06	4.3448220e+00	1.0246633e+03
3.8282830e+02	2.1191050e+06	4.2860580e+00	9.9126492e+02
3.8787880e+02	2.1487890e+06	4.2295820e+00	9.5886147e+02
3.9292930e+02	2.1783100e+06	4.1752560e+00	9.2743041e+02
3.9797980e+02	2.2076660e+06	4.1229480e+00	8.9695105e+02
4.0303030e+02	2.2368540e+06	4.0725270e+00	8.6739979e+02
4.0808080e+02	2.2658710e+06	4.0238700e+00	8.3875598e+02
4.1313130e+02	2.2947130e+06	3.9768550e+00	8.1099646e+02
4.1818180e+02	2.3233770e+06	3.9313640e+00	7.8409915e+02
4.2323230e+02	2.3518600e+06	3.8872840e+00	7.5804176e+02
4.2828280e+02	2.3801600e+06	3.8445060e+00	7.3280321e+02
4.3333330e+02	2.4082720e+06	3.8029250e+00	7.0836095e+02
4.3838380e+02	2.4361940e+06	3.7624380e+00	6.8469373e+02
4.4343430e+02	2.4639220e+06	3.7229490e+00	6.6178062e+02
4.4848480e+02	2.4914540e+06	3.6843630e+00	6.3959989e+02
4.5353540e+02	2.5187870e+06	3.6465930e+00	6.1813143e+02
4.5858590e+02	2.5459160e+06	3.6095500e+00	5.9735490e+02
4.6363640e+02	2.5728400e+06	3.5731560e+00	5.7725050e+02
4.6868690e+02	2.5995550e+06	3.5373310e+00	5.5779819e+02
4.7373740e+02	2.6260570e+06	3.5020010e+00	5.3897897e+02
4.7878790e+02	2.6523440e+06	3.4670980e+00	5.2077441e+02
4.8383840e+02	2.6784130e+06	3.4325560e+00	5.0316568e+02
4.8888890e+02	2.7042600e+06	3.3983130e+00	4.8613547e+02
4.9393940e+02	2.7298820e+06	3.3643100e+00	4.6966508e+02
4.9898990e+02	2.7552760e+06	3.3304950e+00	4.5373865e+02
5.0404040e+02	2.7804400e+06	3.2968170e+00	4.3833852e+02
5.0909090e+02	2.8053690e+06	3.2632310e+00	4.2344860e+02
5.1414140e+02	2.8300610e+06	3.2296940e+00	4.0905334e+02
5.1919190e+02	2.8545130e+06	3.1961690e+00	3.9513662e+02
5.2424240e+02	2.8787210e+06	3.1626210e+00	3.8168408e+02
5.2929290e+02	2.9026820e+06	3.1290210e+00	3.6868034e+02
5.3434340e+02	2.9263940e+06	3.0953430e+00	3.5611178e+02
5.3939390e+02	2.9498520e+06	3.0615640e+00	3.4396396e+02
5.4444440e+02	2.9730550e+06	3.0276670e+00	3.3222378e+02
5.4949490e+02	2.9959980e+06	2.9936360e+00	3.2087766e+02
5.5454550e+02	3.0186790e+06	2.9594630e+00	3.0991349e+02
5.5959600e+02	3.0410940e+06	2.9251410e+00	2.9931856e+02
5.6464650e+02	3.0632410e+06	2.8906670e+00	2.8908086e+02
5.6969700e+02	3.0851160e+06	2.8560440e+00	2.7918890e+02
5.7474750e+02	3.1067160e+06	2.8212770e+00	2.6963116e+02
5.7979800e+02	3.1280390e+06	2.7863760e+00	2.6039678e+02
5.8484850e+02	3.1490800e+06	2.7513540e+00	2.5147513e+02
5.8989900e+02	3.1698360e+06	2.7162290e+00	2.4285589e+02
5.9494950e+02	3.1903060e+06	2.6810220e+00	2.3452902e+02
6.0000000e+02	3.2104840e+06	2.6457600e+00	2.2648499e+02
