---
source: "Converted from Material_new/ xlsx data (Cp only)"
notes: "Only rho_cp data; Sz/Sr set to zero"
---

T (K)	rho_cp (J/m^3K)	Sz (W/mK)	Sr (W/mK)
1.5173670e+01	1.4560000e+04	2.5393825e+01	1.6906771e+03
1.8478480e+01	2.0180000e+04	2.5058868e+01	1.7464336e+03
2.2506210e+01	2.2980000e+04	2.4650640e+01	1.8143867e+03
2.5036450e+01	2.8600000e+04	2.4394190e+01	1.8570752e+03
2.9787110e+01	3.7020000e+04	2.3912690e+01	1.9372251e+03
3.6706550e+01	5.1450000e+04	2.3211375e+01	2.0539652e+03
4.4039090e+01	7.9920000e+04	2.2468190e+01	2.1776748e+03
4.6930800e+01	8.5530000e+04	2.2175103e+01	2.2264618e+03
5.0235610e+01	9.3950000e+04	2.1840146e+01	2.2822183e+03
5.6070660e+01	1.1640000e+05	2.1248738e+01	2.3806633e+03
6.2990100e+01	1.3926000e+05	2.0547423e+01	2.4974033e+03
6.5571980e+01	1.5329000e+05	2.0285739e+01	2.5409631e+03
6.9599710e+01	1.7334000e+05	1.9877511e+01	2.6089162e+03
7.3575810e+01	1.9298000e+05	1.9474516e+01	2.6759982e+03
7.7603540e+01	2.1022000e+05	1.9066288e+01	2.7439514e+03
8.0908350e+01	2.2426000e+05	1.8731331e+01	2.7997079e+03
8.4522980e+01	2.3869000e+05	1.8364973e+01	2.8606914e+03
8.7466320e+01	2.5553000e+05	1.8066653e+01	2.9103495e+03
9.0771130e+01	2.6956000e+05	1.7731696e+01	2.9661060e+03
9.4024300e+01	2.8680000e+05	1.7401973e+01	3.0209913e+03
9.7690570e+01	3.0645000e+05	1.7030381e+01	3.0828461e+03
1.0244123e+02	3.2930000e+05	1.6548881e+01	3.1629960e+03
1.0610750e+02	3.5175000e+05	1.6180625e+01	3.2210101e+03
1.0827628e+02	3.6058000e+05	1.5967654e+01	3.2497198e+03
1.1044506e+02	3.7461000e+05	1.5755745e+01	3.2773066e+03
1.1483425e+02	3.9425000e+05	1.5338275e+01	3.3210831e+03
1.1850052e+02	4.1991000e+05	1.4999669e+01	3.3478460e+03
1.2252826e+02	4.4277000e+05	1.4635585e+01	3.3701312e+03
1.2614289e+02	4.6522000e+05	1.4315907e+01	3.3840461e+03
1.3161648e+02	4.9649000e+05	1.3847403e+01	3.3927283e+03
1.3600567e+02	5.2777000e+05	1.3482893e+01	3.3915295e+03
1.4111780e+02	5.5904000e+05	1.3072202e+01	3.3809007e+03
1.4586846e+02	5.8991000e+05	1.2702591e+01	3.3637207e+03
1.4953473e+02	6.1838000e+05	1.2426100e+01	3.3456157e+03
1.5283953e+02	6.3562000e+05	1.2182829e+01	3.3263273e+03
1.5573124e+02	6.5527000e+05	1.1972569e+01	3.3081746e+03
1.5867458e+02	6.7531000e+05	1.1765425e+01	3.2866182e+03
1.6192775e+02	6.9496000e+05	1.1539684e+01	3.2615128e+03
1.6523256e+02	7.2062000e+05	1.1315123e+01	3.2341084e+03
1.7034468e+02	7.4869000e+05	1.0978840e+01	3.1877900e+03
1.7401095e+02	7.7435000e+05	1.0745993e+01	3.1519404e+03
1.7834851e+02	8.0562000e+05	1.0477312e+01	3.1076342e+03
1.8237624e+02	8.3128000e+05	1.0234883e+01	3.0646934e+03
1.8640398e+02	8.5373000e+05	9.9989793e+00	3.0202523e+03
