---
source: "Nickel Data source: thermophysical properties of matter vol.4 curve 10 plus curve1"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
6.0000000e+01	9.2038064e+05	2.2826363e+02
6.1000000e+01	9.5138326e+05	2.2611729e+02
6.2000000e+01	9.8238588e+05	2.2400265e+02
6.3000000e+01	1.0140165e+06	2.2191939e+02
6.4000000e+01	1.0457328e+06	2.1986719e+02
6.5000000e+01	1.0774491e+06	2.1784573e+02
6.6000000e+01	1.1091654e+06	2.1585468e+02
6.7000000e+01	1.1408817e+06	2.1389374e+02
6.8000000e+01	1.1725979e+06	2.1196258e+02
6.9000000e+01	1.2043142e+06	2.1006088e+02
7.0000000e+01	1.2359253e+06	2.0818832e+02
7.1000000e+01	1.2672370e+06	2.0634459e+02
7.2000000e+01	1.2985487e+06	2.0452935e+02
7.3000000e+01	1.3298605e+06	2.0274231e+02
7.4000000e+01	1.3611722e+06	2.0098312e+02
7.5000000e+01	1.3924839e+06	1.9925149e+02
7.6000000e+01	1.4236799e+06	1.9754707e+02
7.7000000e+01	1.4537058e+06	1.9586957e+02
7.8000000e+01	1.4837317e+06	1.9421865e+02
7.9000000e+01	1.5137577e+06	1.9259399e+02
8.0000000e+01	1.5437836e+06	1.9099529e+02
8.1000000e+01	1.5738096e+06	1.8942221e+02
8.2000000e+01	1.6038355e+06	1.8787445e+02
8.3000000e+01	1.6313589e+06	1.8635167e+02
8.4000000e+01	1.6581765e+06	1.8485356e+02
8.5000000e+01	1.6849941e+06	1.8337980e+02
8.6000000e+01	1.7118117e+06	1.8193008e+02
8.7000000e+01	1.7386293e+06	1.8050406e+02
8.8000000e+01	1.7654469e+06	1.7910144e+02
8.9000000e+01	1.7917150e+06	1.7772189e+02
9.0000000e+01	1.8173877e+06	1.7636510e+02
9.1000000e+01	1.8430605e+06	1.7503074e+02
9.2000000e+01	1.8687332e+06	1.7371849e+02
9.3000000e+01	1.8944059e+06	1.7242804e+02
9.4000000e+01	1.9200787e+06	1.7115906e+02
9.5000000e+01	1.9457514e+06	1.6991124e+02
9.6000000e+01	1.9704089e+06	1.6868426e+02
9.7000000e+01	1.9949146e+06	1.6747779e+02
9.8000000e+01	2.0194203e+06	1.6629152e+02
9.9000000e+01	2.0439260e+06	1.6512513e+02
1.0000000e+02	2.0684318e+06	1.6397830e+02
1.0100000e+02	2.0929375e+06	1.6285071e+02
1.0200000e+02	2.1174432e+06	1.6174204e+02
1.0300000e+02	2.1400498e+06	1.6065197e+02
1.0400000e+02	2.1625133e+06	1.5958018e+02
1.0500000e+02	2.1849769e+06	1.5852635e+02
1.0600000e+02	2.2074405e+06	1.5749016e+02
1.0700000e+02	2.2299041e+06	1.5647130e+02
1.0800000e+02	2.2523677e+06	1.5546944e+02
1.0900000e+02	2.2748313e+06	1.5448426e+02
1.1000000e+02	2.2939777e+06	1.5351545e+02
1.1100000e+02	2.3130906e+06	1.5256269e+02
1.1200000e+02	2.3322035e+06	1.5162569e+02
1.1300000e+02	2.3513164e+06	1.5070415e+02
1.1400000e+02	2.3704293e+06	1.4979781e+02
1.1500000e+02	2.3895422e+06	1.4890637e+02
1.1600000e+02	2.4086551e+06	1.4802955e+02
1.1700000e+02	2.4202403e+06	1.4716709e+02
1.1800000e+02	2.4295769e+06	1.4631874e+02
1.1900000e+02	2.4389135e+06	1.4548423e+02
1.2000000e+02	2.4482501e+06	1.4466330e+02
1.2100000e+02	2.4575868e+06	1.4385571e+02
1.2200000e+02	2.4669234e+06	1.4306120e+02
1.2300000e+02	2.4762600e+06	1.4227955e+02
1.2400000e+02	2.4909174e+06	1.4151050e+02
1.2500000e+02	2.5142560e+06	1.4075383e+02
1.2600000e+02	2.5375946e+06	1.4000929e+02
1.2700000e+02	2.5609332e+06	1.3927667e+02
