---
source: "Data source:"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.0000000e+02	2.0200470e+06	7.6473070e+01
1.0505050e+02	2.0843890e+06	7.6079300e+01
1.1010100e+02	2.1442370e+06	7.5704460e+01
1.1515150e+02	2.1999190e+06	7.5348130e+01
1.2020200e+02	2.2517390e+06	7.5009850e+01
1.2525250e+02	2.2999780e+06	7.4689220e+01
1.3030300e+02	2.3448980e+06	7.4385800e+01
1.3535350e+02	2.3867400e+06	7.4099170e+01
1.4040400e+02	2.4257300e+06	7.3828920e+01
1.4545450e+02	2.4620740e+06	7.3574640e+01
1.5050510e+02	2.4959660e+06	7.3335940e+01
1.5555560e+02	2.5275850e+06	7.3112400e+01
1.6060610e+02	2.5570970e+06	7.2903640e+01
1.6565660e+02	2.5846550e+06	7.2709260e+01
1.7070710e+02	2.6104020e+06	7.2528900e+01
1.7575760e+02	2.6344700e+06	7.2362160e+01
1.8080810e+02	2.6569810e+06	7.2208680e+01
1.8585860e+02	2.6780500e+06	7.2068090e+01
1.9090910e+02	2.6977810e+06	7.1940020e+01
1.9595960e+02	2.7162720e+06	7.1824120e+01
2.0101010e+02	2.7336140e+06	7.1720030e+01
2.0606060e+02	2.7498900e+06	7.1627410e+01
2.1111110e+02	2.7651790e+06	7.1545920e+01
2.1616160e+02	2.7795520e+06	7.1475220e+01
2.2121210e+02	2.7930770e+06	7.1414980e+01
2.2626260e+02	2.8058150e+06	7.1364870e+01
2.3131310e+02	2.8178240e+06	7.1324560e+01
2.3636360e+02	2.8291570e+06	7.1293750e+01
2.4141410e+02	2.8398640e+06	7.1272120e+01
2.4646460e+02	2.8499900e+06	7.1259360e+01
2.5151520e+02	2.8595790e+06	7.1255170e+01
2.5656570e+02	2.8686680e+06	7.1259270e+01
2.6161620e+02	2.8772960e+06	7.1271340e+01
2.6666670e+02	2.8854950e+06	7.1291120e+01
2.7171720e+02	2.8932980e+06	7.1318320e+01
2.7676770e+02	2.9007320e+06	7.1352650e+01
2.8181820e+02	2.9078260e+06	7.1393860e+01
2.8686870e+02	2.9146040e+06	7.1441680e+01
2.9191920e+02	2.9210900e+06	7.1495840e+01
2.9696970e+02	2.9273040e+06	7.1556100e+01
3.0202020e+02	2.9332670e+06	7.1622190e+01
3.0707070e+02	2.9389980e+06	7.1693880e+01
3.1212120e+02	2.9445130e+06	7.1770930e+01
3.1717170e+02	2.9498280e+06	7.1853090e+01
3.2222220e+02	2.9549590e+06	7.1940140e+01
3.2727270e+02	2.9599180e+06	7.2031860e+01
3.3232320e+02	2.9647190e+06	7.2128030e+01
3.3737370e+02	2.9693730e+06	7.2228430e+01
3.4242420e+02	2.9738910e+06	7.2332840e+01
3.4747470e+02	2.9782830e+06	7.2441080e+01
3.5252530e+02	2.9825590e+06	7.2552930e+01
3.5757580e+02	2.9867260e+06	7.2668210e+01
3.6262630e+02	2.9907940e+06	7.2786720e+01
3.6767680e+02	2.9947700e+06	7.2908280e+01
3.7272730e+02	2.9986600e+06	7.3032720e+01
3.7777780e+02	3.0024720e+06	7.3159850e+01
3.8282830e+02	3.0062100e+06	7.3289510e+01
3.8787880e+02	3.0098810e+06	7.3421540e+01
3.9292930e+02	3.0134890e+06	7.3555770e+01
3.9797980e+02	3.0170400e+06	7.3692060e+01
4.0303030e+02	3.0205370e+06	7.3830260e+01
4.0808080e+02	3.0239850e+06	7.3970210e+01
4.1313130e+02	3.0273880e+06	7.4111790e+01
4.1818180e+02	3.0307480e+06	7.4254870e+01
4.2323230e+02	3.0340700e+06	7.4399300e+01
4.2828280e+02	3.0373570e+06	7.4544980e+01
4.3333330e+02	3.0406100e+06	7.4691780e+01
4.3838380e+02	3.0438330e+06	7.4839590e+01
4.4343430e+02	3.0470280e+06	7.4988310e+01
4.4848480e+02	3.0501980e+06	7.5137820e+01
4.5353540e+02	3.0533440e+06	7.5288040e+01
4.5858590e+02	3.0564680e+06	7.5438870e+01
4.6363640e+02	3.0595720e+06	7.5590220e+01
4.6868690e+02	3.0626580e+06	7.5742020e+01
4.7373740e+02	3.0657270e+06	7.5894180e+01
4.7878790e+02	3.0687810e+06	7.6046640e+01
4.8383840e+02	3.0718200e+06	7.6199320e+01
4.8888890e+02	3.0748470e+06	7.6352170e+01
4.9393940e+02	3.0778630e+06	7.6505130e+01
4.9898990e+02	3.0808670e+06	7.6658140e+01
5.0404040e+02	3.0838620e+06	7.6811170e+01
5.0909090e+02	3.0868480e+06	7.6964170e+01
5.1414140e+02	3.0898260e+06	7.7117100e+01
5.1919190e+02	3.0927970e+06	7.7269940e+01
5.2424240e+02	3.0957610e+06	7.7422650e+01
5.2929290e+02	3.0987200e+06	7.7575220e+01
5.3434340e+02	3.1016730e+06	7.7727630e+01
5.3939390e+02	3.1046220e+06	7.7879880e+01
5.4444440e+02	3.1075670e+06	7.8031940e+01
5.4949490e+02	3.1105080e+06	7.8183840e+01
5.5454550e+02	3.1134460e+06	7.8335560e+01
5.5959600e+02	3.1163810e+06	7.8487120e+01
5.6464650e+02	3.1193140e+06	7.8638540e+01
5.6969700e+02	3.1222450e+06	7.8789830e+01
5.7474750e+02	3.1251750e+06	7.8941020e+01
5.7979800e+02	3.1281030e+06	7.9092150e+01
5.8484850e+02	3.1310300e+06	7.9243230e+01
5.8989900e+02	3.1339560e+06	7.9394330e+01
5.9494950e+02	3.1368820e+06	7.9545470e+01
6.0000000e+02	3.1398070e+06	7.9696720e+01
