---
source: "GaN Data source: C is from heat capacity of 4H-SiC, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
2.0000000e+02	9.2586468e+05	4.9500000e+02	5.7647700e+02
2.0100000e+02	9.4256190e+05	4.9253731e+02	5.7360895e+02
2.0200000e+02	9.5913273e+05	4.9009901e+02	5.7076931e+02
2.0300000e+02	9.7557848e+05	4.8768473e+02	5.6795764e+02
2.0400000e+02	9.9190042e+05	4.8529412e+02	5.6517353e+02
2.0500000e+02	1.0080998e+06	4.8292683e+02	5.6241659e+02
2.0600000e+02	1.0241779e+06	4.8058252e+02	5.5968640e+02
2.0700000e+02	1.0401360e+06	4.7826087e+02	5.5698261e+02
2.0800000e+02	1.0559752e+06	4.7596154e+02	5.5430481e+02
2.0900000e+02	1.0716968e+06	4.7368421e+02	5.5165263e+02
2.1000000e+02	1.0873020e+06	4.7142857e+02	5.4902571e+02
2.1100000e+02	1.1027920e+06	4.6919431e+02	5.4642369e+02
2.1200000e+02	1.1181679e+06	4.6698113e+02	5.4384622e+02
2.1300000e+02	1.1334309e+06	4.6478873e+02	5.4129295e+02
2.1400000e+02	1.1485822e+06	4.6261682e+02	5.3876355e+02
2.1500000e+02	1.1636228e+06	4.6046512e+02	5.3625768e+02
2.1600000e+02	1.1785539e+06	4.5833333e+02	5.3377500e+02
2.1700000e+02	1.1933766e+06	4.5622120e+02	5.3131521e+02
2.1800000e+02	1.2080919e+06	4.5412844e+02	5.2887798e+02
2.1900000e+02	1.2227011e+06	4.5205479e+02	5.2646301e+02
2.2000000e+02	1.2372050e+06	4.5000000e+02	5.2407000e+02
2.2100000e+02	1.2516049e+06	4.4796380e+02	5.2169864e+02
2.2200000e+02	1.2659017e+06	4.4594595e+02	5.1934865e+02
2.2300000e+02	1.2800964e+06	4.4394619e+02	5.1701973e+02
2.2400000e+02	1.2941901e+06	4.4196429e+02	5.1471161e+02
2.2500000e+02	1.3081838e+06	4.4000000e+02	5.1242400e+02
2.2600000e+02	1.3220784e+06	4.3805310e+02	5.1015664e+02
2.2700000e+02	1.3358750e+06	4.3612335e+02	5.0790925e+02
2.2800000e+02	1.3495745e+06	4.3421053e+02	5.0568158e+02
2.2900000e+02	1.3631779e+06	4.3231441e+02	5.0347336e+02
2.3000000e+02	1.3766862e+06	4.3043478e+02	5.0128434e+02
2.3100000e+02	1.3901002e+06	4.2857143e+02	4.9911429e+02
2.3200000e+02	1.4034209e+06	4.2672414e+02	4.9696293e+02
2.3300000e+02	1.4166492e+06	4.2489270e+02	4.9483004e+02
2.3400000e+02	1.4297860e+06	4.2307692e+02	4.9271538e+02
2.3500000e+02	1.4428323e+06	4.2127660e+02	4.9061873e+02
2.3600000e+02	1.4557888e+06	4.1949153e+02	4.8853984e+02
2.3700000e+02	1.4686565e+06	4.1772152e+02	4.8647848e+02
2.3800000e+02	1.4814362e+06	4.1596639e+02	4.8443446e+02
2.3900000e+02	1.4941288e+06	4.1422594e+02	4.8240753e+02
2.4000000e+02	1.5067352e+06	4.1250000e+02	4.8039750e+02
2.4100000e+02	1.5192560e+06	4.1078838e+02	4.7840415e+02
2.4200000e+02	1.5316923e+06	4.0909091e+02	4.7642727e+02
2.4300000e+02	1.5440447e+06	4.0740741e+02	4.7446667e+02
2.4400000e+02	1.5563141e+06	4.0573770e+02	4.7252213e+02
2.4500000e+02	1.5685014e+06	4.0408163e+02	4.7059347e+02
2.4600000e+02	1.5806072e+06	4.0243902e+02	4.6868048e+02
2.4700000e+02	1.5926323e+06	4.0080972e+02	4.6678300e+02
2.4800000e+02	1.6045775e+06	3.9919355e+02	4.6490081e+02
2.4900000e+02	1.6164437e+06	3.9759036e+02	4.6303373e+02
2.5000000e+02	1.6282314e+06	3.9600000e+02	4.6118160e+02
2.5100000e+02	1.6399415e+06	3.9442231e+02	4.5934422e+02
2.5200000e+02	1.6515747e+06	3.9285714e+02	4.5752143e+02
2.5300000e+02	1.6631317e+06	3.9130435e+02	4.5571305e+02
2.5400000e+02	1.6746132e+06	3.8976378e+02	4.5391890e+02
2.5500000e+02	1.6860199e+06	3.8823529e+02	4.5213882e+02
2.5600000e+02	1.6973526e+06	3.8671875e+02	4.5037266e+02
2.5700000e+02	1.7086119e+06	3.8521401e+02	4.4862024e+02
2.5800000e+02	1.7197986e+06	3.8372093e+02	4.4688140e+02
2.5900000e+02	1.7309131e+06	3.8223938e+02	4.4515598e+02
2.6000000e+02	1.7419564e+06	3.8076923e+02	4.4344385e+02
2.6100000e+02	1.7529289e+06	3.7931034e+02	4.4174482e+02
2.6200000e+02	1.7638314e+06	3.7786260e+02	4.4005878e+02
2.6300000e+02	1.7746644e+06	3.7642586e+02	4.3838556e+02
2.6400000e+02	1.7854287e+06	3.7500000e+02	4.3672500e+02
2.6500000e+02	1.7961249e+06	3.7358491e+02	4.3507699e+02
2.6600000e+02	1.8067535e+06	3.7218045e+02	4.3344135e+02
2.6700000e+02	1.8173153e+06	3.7078652e+02	4.3181798e+02
