---
source: "Amorphous SiO2. Data source: thermophysical properties of matter vol.5 curve 6 plus curve5, cahill 3w paper"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
6.0000000e+01	2.8411515e+05	4.1488278e-01
6.1000000e+01	2.9227554e+05	4.2192544e-01
6.2000000e+01	3.0040656e+05	4.2892454e-01
6.3000000e+01	3.0850841e+05	4.3588033e-01
6.4000000e+01	3.1658127e+05	4.4279306e-01
6.5000000e+01	3.2462531e+05	4.4966299e-01
6.6000000e+01	3.3264071e+05	4.5649036e-01
6.7000000e+01	3.4062763e+05	4.6327544e-01
6.8000000e+01	3.4858627e+05	4.7001846e-01
6.9000000e+01	3.5651677e+05	4.7671968e-01
7.0000000e+01	3.6441933e+05	4.8337934e-01
7.1000000e+01	3.7229409e+05	4.8999769e-01
7.2000000e+01	3.8014124e+05	4.9657497e-01
7.3000000e+01	3.8796093e+05	5.0311144e-01
7.4000000e+01	3.9575332e+05	5.0960733e-01
7.5000000e+01	4.0351859e+05	5.1606288e-01
7.6000000e+01	4.1125688e+05	5.2247833e-01
7.7000000e+01	4.1896836e+05	5.2885393e-01
7.8000000e+01	4.2665319e+05	5.3518992e-01
7.9000000e+01	4.3431151e+05	5.4148652e-01
8.0000000e+01	4.4194349e+05	5.4774399e-01
8.1000000e+01	4.4954927e+05	5.5396255e-01
8.2000000e+01	4.5712902e+05	5.6014243e-01
8.3000000e+01	4.6468287e+05	5.6628389e-01
8.4000000e+01	4.7221098e+05	5.7238713e-01
8.5000000e+01	4.7971349e+05	5.7845241e-01
8.6000000e+01	4.8719054e+05	5.8447994e-01
8.7000000e+01	4.9464229e+05	5.9046996e-01
8.8000000e+01	5.0206888e+05	5.9642269e-01
8.9000000e+01	5.0947044e+05	6.0233838e-01
9.0000000e+01	5.1684712e+05	6.0821723e-01
9.1000000e+01	5.2419905e+05	6.1405947e-01
9.2000000e+01	5.3152637e+05	6.1986534e-01
9.3000000e+01	5.3882922e+05	6.2563506e-01
9.4000000e+01	5.4610774e+05	6.3136884e-01
9.5000000e+01	5.5336204e+05	6.3706691e-01
9.6000000e+01	5.6059228e+05	6.4272949e-01
9.7000000e+01	5.6779857e+05	6.4835680e-01
9.8000000e+01	5.7498105e+05	6.5394905e-01
9.9000000e+01	5.8213984e+05	6.5950647e-01
1.0000000e+02	5.8927508e+05	6.6502928e-01
1.0100000e+02	5.9638688e+05	6.7051768e-01
1.0200000e+02	6.0347537e+05	6.7597190e-01
1.0300000e+02	6.1054068e+05	6.8139214e-01
1.0400000e+02	6.1758292e+05	6.8677862e-01
1.0500000e+02	6.2460221e+05	6.9213155e-01
1.0600000e+02	6.3159869e+05	6.9745114e-01
1.0700000e+02	6.3857245e+05	7.0273761e-01
1.0800000e+02	6.4552363e+05	7.0799116e-01
1.0900000e+02	6.5245233e+05	7.1321199e-01
1.1000000e+02	6.5935867e+05	7.1840032e-01
1.1100000e+02	6.6624276e+05	7.2355635e-01
1.1200000e+02	6.7310472e+05	7.2868029e-01
1.1300000e+02	6.7994466e+05	7.3377234e-01
1.1400000e+02	6.8676268e+05	7.3883270e-01
1.1500000e+02	6.9355890e+05	7.4386158e-01
1.1600000e+02	7.0033342e+05	7.4885917e-01
1.1700000e+02	7.0708635e+05	7.5382568e-01
1.1800000e+02	7.1381780e+05	7.5876131e-01
1.1900000e+02	7.2052786e+05	7.6366626e-01
1.2000000e+02	7.2721664e+05	7.6854071e-01
1.2100000e+02	7.3388425e+05	7.7338488e-01
1.2200000e+02	7.4053079e+05	7.7819895e-01
1.2300000e+02	7.4715635e+05	7.8298312e-01
1.2400000e+02	7.5376103e+05	7.8773758e-01
1.2500000e+02	7.6034494e+05	7.9246253e-01
1.2600000e+02	7.6690817e+05	7.9715816e-01
1.2700000e+02	7.7345081e+05	8.0182465e-01
1.2800000e+02	7.7997296e+05	8.0646220e-01
1.2900000e+02	7.8647471e+05	8.1107100e-01
1.3000000e+02	7.9295616e+05	8.1565124e-01
1.3100000e+02	7.9941740e+05	8.2020310e-01
1.3200000e+02	8.0585852e+05	8.2472677e-01
1.3300000e+02	8.1227961e+05	8.2922243e-01
1.3400000e+02	8.1868075e+05	8.3369027e-01
1.3500000e+02	8.2506205e+05	8.3813048e-01
1.3600000e+02	8.3142357e+05	8.4254323e-01
1.3700000e+02	8.3776542e+05	8.4692871e-01
1.3800000e+02	8.4408767e+05	8.5128710e-01
1.3900000e+02	8.5039040e+05	8.5561858e-01
1.4000000e+02	8.5667372e+05	8.5992332e-01
1.4100000e+02	8.6293768e+05	8.6420151e-01
1.4200000e+02	8.6918238e+05	8.6845333e-01
1.4300000e+02	8.7540790e+05	8.7267894e-01
1.4400000e+02	8.8161432e+05	8.7687853e-01
1.4500000e+02	8.8780171e+05	8.8105227e-01
1.4600000e+02	8.9397016e+05	8.8520033e-01
1.4700000e+02	9.0011973e+05	8.8932289e-01
1.4800000e+02	9.0625052e+05	8.9342012e-01
1.4900000e+02	9.1236258e+05	8.9749219e-01
1.5000000e+02	9.1845601e+05	9.0153927e-01
1.5100000e+02	9.2453087e+05	9.0556152e-01
1.5200000e+02	9.3058723e+05	9.0955913e-01
1.5300000e+02	9.3662517e+05	9.1353225e-01
1.5400000e+02	9.4264475e+05	9.1748106e-01
1.5500000e+02	9.4864606e+05	9.2140572e-01
1.5600000e+02	9.5462915e+05	9.2530639e-01
1.5700000e+02	9.6059411e+05	9.2918324e-01
1.5800000e+02	9.6654099e+05	9.3303643e-01
1.5900000e+02	9.7246986e+05	9.3686612e-01
1.6000000e+02	9.7838079e+05	9.4067248e-01
1.6100000e+02	9.8427386e+05	9.4445567e-01
1.6200000e+02	9.9014911e+05	9.4821585e-01
1.6300000e+02	9.9600662e+05	9.5195317e-01
1.6400000e+02	1.0018465e+06	9.5566779e-01
1.6500000e+02	1.0076687e+06	9.5935988e-01
1.6600000e+02	1.0134733e+06	9.6302959e-01
1.6700000e+02	1.0192605e+06	9.6667708e-01
1.6800000e+02	1.0250302e+06	9.7030249e-01
1.6900000e+02	1.0307826e+06	9.7390599e-01
1.7000000e+02	1.0365177e+06	9.7748772e-01
1.7100000e+02	1.0422355e+06	9.8104785e-01
1.7200000e+02	1.0479361e+06	9.8458652e-01
1.7300000e+02	1.0536196e+06	9.8810388e-01
1.7400000e+02	1.0592860e+06	9.9160008e-01
1.7500000e+02	1.0649354e+06	9.9507528e-01
1.7600000e+02	1.0705678e+06	9.9852961e-01
1.7700000e+02	1.0761833e+06	1.0019632e+00
1.7800000e+02	1.0817819e+06	1.0053763e+00
1.7900000e+02	1.0873637e+06	1.0087689e+00
1.8000000e+02	1.0929288e+06	1.0121413e+00
1.8100000e+02	1.0984772e+06	1.0154935e+00
1.8200000e+02	1.1040090e+06	1.0188258e+00
1.8300000e+02	1.1095241e+06	1.0221382e+00
1.8400000e+02	1.1150228e+06	1.0254309e+00
1.8500000e+02	1.1205049e+06	1.0287041e+00
1.8600000e+02	1.1259706e+06	1.0319578e+00
1.8700000e+02	1.1314198e+06	1.0351923e+00
1.8800000e+02	1.1368528e+06	1.0384076e+00
1.8900000e+02	1.1422694e+06	1.0416039e+00
1.9000000e+02	1.1476698e+06	1.0447814e+00
1.9100000e+02	1.1530540e+06	1.0479401e+00
1.9200000e+02	1.1584220e+06	1.0510802e+00
1.9300000e+02	1.1637740e+06	1.0542019e+00
1.9400000e+02	1.1691098e+06	1.0573052e+00
1.9500000e+02	1.1744297e+06	1.0603904e+00
1.9600000e+02	1.1797335e+06	1.0634575e+00
1.9700000e+02	1.1850215e+06	1.0665067e+00
1.9800000e+02	1.1902935e+06	1.0695381e+00
1.9900000e+02	1.1955497e+06	1.0725518e+00
2.0000000e+02	1.2007901e+06	1.0755480e+00
2.0100000e+02	1.2060148e+06	1.0785268e+00
2.0200000e+02	1.2112237e+06	1.0814883e+00
2.0300000e+02	1.2164169e+06	1.0844327e+00
2.0400000e+02	1.2215945e+06	1.0873601e+00
2.0500000e+02	1.2267565e+06	1.0902705e+00
2.0600000e+02	1.2319030e+06	1.0931642e+00
2.0700000e+02	1.2370339e+06	1.0960412e+00
2.0800000e+02	1.2421493e+06	1.0989018e+00
2.0900000e+02	1.2472493e+06	1.1017459e+00
2.1000000e+02	1.2523339e+06	1.1045737e+00
2.1100000e+02	1.2574032e+06	1.1073854e+00
2.1200000e+02	1.2624571e+06	1.1101811e+00
2.1300000e+02	1.2674957e+06	1.1129608e+00
2.1400000e+02	1.2725190e+06	1.1157248e+00
2.1500000e+02	1.2775271e+06	1.1184730e+00
2.1600000e+02	1.2825201e+06	1.1212058e+00
2.1700000e+02	1.2874978e+06	1.1239230e+00
2.1800000e+02	1.2924605e+06	1.1266250e+00
2.1900000e+02	1.2974081e+06	1.1293117e+00
2.2000000e+02	1.3023406e+06	1.1319834e+00
2.2100000e+02	1.3072582e+06	1.1346400e+00
2.2200000e+02	1.3121607e+06	1.1372818e+00
2.2300000e+02	1.3170483e+06	1.1399089e+00
2.2400000e+02	1.3219210e+06	1.1425213e+00
2.2500000e+02	1.3267787e+06	1.1451192e+00
2.2600000e+02	1.3316217e+06	1.1477027e+00
2.2700000e+02	1.3364498e+06	1.1502718e+00
2.2800000e+02	1.3412631e+06	1.1528268e+00
2.2900000e+02	1.3460617e+06	1.1553677e+00
2.3000000e+02	1.3508455e+06	1.1578946e+00
2.3100000e+02	1.3556146e+06	1.1604076e+00
2.3200000e+02	1.3603691e+06	1.1629069e+00
2.3300000e+02	1.3651089e+06	1.1653925e+00
2.3400000e+02	1.3698341e+06	1.1678645e+00
2.3500000e+02	1.3745447e+06	1.1703231e+00
2.3600000e+02	1.3792408e+06	1.1727683e+00
2.3700000e+02	1.3839223e+06	1.1752003e+00
2.3800000e+02	1.3885894e+06	1.1776192e+00
2.3900000e+02	1.3932419e+06	1.1800250e+00
2.4000000e+02	1.3978801e+06	1.1824179e+00
2.4100000e+02	1.4025038e+06	1.1847980e+00
2.4200000e+02	1.4071131e+06	1.1871653e+00
2.4300000e+02	1.4117080e+06	1.1895200e+00
2.4400000e+02	1.4162887e+06	1.1918621e+00
2.4500000e+02	1.4208550e+06	1.1941919e+00
2.4600000e+02	1.4254070e+06	1.1965092e+00
2.4700000e+02	1.4299448e+06	1.1988143e+00
2.4800000e+02	1.4344683e+06	1.2011073e+00
2.4900000e+02	1.4389777e+06	1.2033882e+00
2.5000000e+02	1.4434728e+06	1.2056572e+00
2.5100000e+02	1.4479538e+06	1.2079143e+00
2.5200000e+02	1.4524206e+06	1.2101596e+00
2.5300000e+02	1.4568734e+06	1.2123933e+00
2.5400000e+02	1.4613120e+06	1.2146154e+00
2.5500000e+02	1.4657366e+06	1.2168259e+00
2.5600000e+02	1.4701472e+06	1.2190251e+00
2.5700000e+02	1.4745437e+06	1.2212130e+00
2.5800000e+02	1.4789263e+06	1.2233896e+00
2.5900000e+02	1.4832949e+06	1.2255551e+00
2.6000000e+02	1.4876495e+06	1.2277096e+00
