---
source: "Converted from Material_new/ xlsx data"
date: "AI_FDTRFit"
notes: ""
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
2.0515000e+02	1.2801800e+06	1.0936858e+00
2.0615000e+02	1.2841400e+06	1.0962342e+00
2.0715000e+02	1.2896400e+06	1.0987126e+00
2.0815000e+02	1.2940400e+06	1.1011370e+00
2.0915000e+02	1.2984400e+06	1.1035231e+00
2.1015000e+02	1.3024000e+06	1.1058867e+00
2.1115000e+02	1.3065800e+06	1.1082438e+00
2.1215000e+02	1.3116400e+06	1.1106102e+00
2.1315000e+02	1.3160400e+06	1.1130017e+00
2.1415000e+02	1.3202200e+06	1.1154341e+00
2.1515000e+02	1.3252800e+06	1.1179232e+00
2.1615000e+02	1.3294600e+06	1.1204850e+00
2.1715000e+02	1.3340800e+06	1.1231353e+00
2.1815000e+02	1.3387000e+06	1.1258899e+00
2.1915000e+02	1.3431000e+06	1.1287621e+00
2.2015000e+02	1.3477200e+06	1.1317444e+00
2.2115000e+02	1.3521200e+06	1.1348249e+00
2.2215000e+02	1.3576200e+06	1.1379914e+00
2.2315000e+02	1.3620200e+06	1.1412320e+00
2.2415000e+02	1.3662000e+06	1.1445345e+00
2.2515000e+02	1.3717000e+06	1.1478868e+00
2.2615000e+02	1.3750000e+06	1.1512770e+00
2.2715000e+02	1.3802800e+06	1.1546929e+00
2.2815000e+02	1.3851200e+06	1.1581225e+00
2.2915000e+02	1.3890800e+06	1.1615537e+00
2.3015000e+02	1.3934800e+06	1.1649744e+00
2.3115000e+02	1.3978800e+06	1.1683726e+00
2.3215000e+02	1.4025000e+06	1.1717361e+00
2.3315000e+02	1.4082200e+06	1.1750531e+00
2.3415000e+02	1.4121800e+06	1.1783112e+00
2.3515000e+02	1.4168000e+06	1.1814986e+00
2.3615000e+02	1.4212000e+06	1.1846031e+00
2.3715000e+02	1.4256000e+06	1.1876127e+00
2.3815000e+02	1.4302200e+06	1.1905153e+00
2.3915000e+02	1.4344000e+06	1.1932988e+00
2.4015000e+02	1.4381400e+06	1.1959511e+00
2.4115000e+02	1.4421000e+06	1.1985009e+00
2.4215000e+02	1.4465000e+06	1.2010032e+00
2.4315000e+02	1.4500200e+06	1.2034603e+00
2.4415000e+02	1.4533200e+06	1.2058742e+00
2.4515000e+02	1.4586000e+06	1.2082467e+00
2.4615000e+02	1.4638800e+06	1.2105798e+00
2.4715000e+02	1.4687200e+06	1.2128753e+00
2.4815000e+02	1.4724600e+06	1.2151352e+00
2.4915000e+02	1.4764200e+06	1.2173613e+00
2.5015000e+02	1.4803800e+06	1.2195556e+00
2.5115000e+02	1.4836800e+06	1.2217198e+00
2.5215000e+02	1.4850000e+06	1.2238560e+00
2.5315000e+02	1.4880800e+06	1.2259661e+00
2.5415000e+02	1.4911600e+06	1.2280518e+00
2.5515000e+02	1.4951200e+06	1.2301151e+00
2.5615000e+02	1.4997400e+06	1.2321580e+00
2.5715000e+02	1.5043600e+06	1.2341823e+00
