---
source: "Silicon. Cp source: Austin"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.0000000e+00	5.6794000e-01	8.8370700e+02
1.0272090e+00	6.2017550e-01	8.8370700e+02
1.0551590e+00	6.7495470e-01	8.8370700e+02
1.0838690e+00	7.3227220e-01	8.8370700e+02
1.1133610e+00	7.9210740e-01	8.8370700e+02
1.1436550e+00	8.5442130e-01	8.8370700e+02
1.1747730e+00	9.1915500e-01	8.8370700e+02
1.2067380e+00	9.8622610e-01	8.8370700e+02
1.2395730e+00	1.0555260e+00	8.8370700e+02
1.2733010e+00	1.1269180e+00	8.8370700e+02
1.3079460e+00	1.2002890e+00	8.8370700e+02
1.3435350e+00	1.2755920e+00	8.8370700e+02
1.3800920e+00	1.3527720e+00	8.8370700e+02
1.4176430e+00	1.4317610e+00	8.8370700e+02
1.4562160e+00	1.5124940e+00	8.8370700e+02
1.4958390e+00	1.5949940e+00	8.8370700e+02
1.5365400e+00	1.6793100e+00	8.8370700e+02
1.5783490e+00	1.7654950e+00	8.8370700e+02
1.6212950e+00	1.8536100e+00	8.8370700e+02
1.6654090e+00	1.9438040e+00	8.8370700e+02
1.7107240e+00	2.0363000e+00	8.8370700e+02
1.7572720e+00	2.1313520e+00	8.8370700e+02
1.8050860e+00	2.2292500e+00	8.8370700e+02
1.8542010e+00	2.3304090e+00	8.8370700e+02
1.9046530e+00	2.4354390e+00	8.8370700e+02
1.9564780e+00	2.5450520e+00	8.8370700e+02
2.0097120e+00	2.6600580e+00	8.8370700e+02
2.0643950e+00	2.7814250e+00	8.8370700e+02
2.1205660e+00	2.9104630e+00	8.8370700e+02
2.1782660e+00	3.0487190e+00	8.8370700e+02
2.2375350e+00	3.1979450e+00	8.8370700e+02
2.2984170e+00	3.3601430e+00	8.8370700e+02
2.3609560e+00	3.5377750e+00	8.8370700e+02
2.4251960e+00	3.7337700e+00	8.8370700e+02
2.4911840e+00	3.9514330e+00	8.8370700e+02
2.5589680e+00	4.1944900e+00	8.8370700e+02
2.6285960e+00	4.4671720e+00	8.8370700e+02
2.7001190e+00	4.7743020e+00	8.8370700e+02
2.7735870e+00	5.1212940e+00	8.8370700e+02
2.8490550e+00	5.5142040e+00	8.8370700e+02
2.9265760e+00	5.9596800e+00	8.8370700e+02
3.0062070e+00	6.4645940e+00	8.8370700e+02
3.0880040e+00	7.0364140e+00	8.8370700e+02
3.1720270e+00	7.6834090e+00	8.8370700e+02
3.2583360e+00	8.4146360e+00	8.8370700e+02
3.3469930e+00	9.2389650e+00	8.8370700e+02
3.4380630e+00	1.0165300e+01	8.8370700e+02
3.5316110e+00	1.1203310e+01	8.8370700e+02
3.6277040e+00	1.2363510e+01	8.8370700e+02
3.7264110e+00	1.3656360e+01	8.8370700e+02
3.8278050e+00	1.5091490e+01	8.8370700e+02
3.9319570e+00	1.6678940e+01	8.8370700e+02
4.0389440e+00	1.8429420e+01	8.8370700e+02
4.1488410e+00	2.0354020e+01	8.8370700e+02
4.2617290e+00	2.2463120e+01	8.8370700e+02
4.3776880e+00	2.4767190e+01	8.8370700e+02
