---
source: "TiN Data source: thermophysical properties of matter vol.5 curve 1 plus curve 2"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
6.0000000e+01	2.7887294e+05	1.3302301e+01
6.1000000e+01	2.9242019e+05	1.3341939e+01
6.2000000e+01	3.0601338e+05	1.3381518e+01
6.3000000e+01	3.1975771e+05	1.3421038e+01
6.4000000e+01	3.3376290e+05	1.3460500e+01
6.5000000e+01	3.4813780e+05	1.3499903e+01
6.6000000e+01	3.6292247e+05	1.3539247e+01
6.7000000e+01	3.7804038e+05	1.3578533e+01
6.8000000e+01	3.9340374e+05	1.3617760e+01
6.9000000e+01	4.0892474e+05	1.3656928e+01
7.0000000e+01	4.2451601e+05	1.3696038e+01
7.1000000e+01	4.4012397e+05	1.3735089e+01
7.2000000e+01	4.5575236e+05	1.3774082e+01
7.3000000e+01	4.7141046e+05	1.3813016e+01
7.4000000e+01	4.8710753e+05	1.3851891e+01
7.5000000e+01	5.0285219e+05	1.3890707e+01
7.6000000e+01	5.1864944e+05	1.3929465e+01
7.7000000e+01	5.3450306e+05	1.3968164e+01
7.8000000e+01	5.5041684e+05	1.4006805e+01
7.9000000e+01	5.6639420e+05	1.4045386e+01
8.0000000e+01	5.8243060e+05	1.4083910e+01
8.1000000e+01	5.9851350e+05	1.4122374e+01
8.2000000e+01	6.1463002e+05	1.4160780e+01
8.3000000e+01	6.3076725e+05	1.4199127e+01
8.4000000e+01	6.4691233e+05	1.4237416e+01
8.5000000e+01	6.6305235e+05	1.4275645e+01
8.6000000e+01	6.7917562e+05	1.4313817e+01
8.7000000e+01	6.9528256e+05	1.4351929e+01
8.8000000e+01	7.1138080e+05	1.4389983e+01
8.9000000e+01	7.2747803e+05	1.4427978e+01
9.0000000e+01	7.4358195e+05	1.4465915e+01
9.1000000e+01	7.5970027e+05	1.4503793e+01
9.2000000e+01	7.7584069e+05	1.4541612e+01
9.3000000e+01	7.9201091e+05	1.4579372e+01
9.4000000e+01	8.0821863e+05	1.4617074e+01
9.5000000e+01	8.2447155e+05	1.4654718e+01
9.6000000e+01	8.4077362e+05	1.4692302e+01
9.7000000e+01	8.5711760e+05	1.4729828e+01
9.8000000e+01	8.7349421e+05	1.4767295e+01
9.9000000e+01	8.8989417e+05	1.4804704e+01
1.0000000e+02	9.0630818e+05	1.4842054e+01
1.0100000e+02	9.2272696e+05	1.4879345e+01
1.0200000e+02	9.3914122e+05	1.4916578e+01
1.0300000e+02	9.5554167e+05	1.4953752e+01
1.0400000e+02	9.7191903e+05	1.4990867e+01
1.0500000e+02	9.8826405e+05	1.5027924e+01
1.0600000e+02	1.0045696e+06	1.5064922e+01
1.0700000e+02	1.0208313e+06	1.5101861e+01
1.0800000e+02	1.0370449e+06	1.5138742e+01
1.0900000e+02	1.0532062e+06	1.5175564e+01
1.1000000e+02	1.0693110e+06	1.5212327e+01
1.1100000e+02	1.0853551e+06	1.5249032e+01
1.1200000e+02	1.1013342e+06	1.5285678e+01
1.1300000e+02	1.1172441e+06	1.5322265e+01
1.1400000e+02	1.1330806e+06	1.5358794e+01
1.1500000e+02	1.1488395e+06	1.5395264e+01
1.1600000e+02	1.1645183e+06	1.5431675e+01
1.1700000e+02	1.1801276e+06	1.5468028e+01
1.1800000e+02	1.1956835e+06	1.5504322e+01
1.1900000e+02	1.2112024e+06	1.5540557e+01
1.2000000e+02	1.2267007e+06	1.5576734e+01
1.2100000e+02	1.2421946e+06	1.5612852e+01
1.2200000e+02	1.2577005e+06	1.5648911e+01
1.2300000e+02	1.2732346e+06	1.5684912e+01
1.2400000e+02	1.2888134e+06	1.5720854e+01
1.2500000e+02	1.3044531e+06	1.5756738e+01
1.2600000e+02	1.3201661e+06	1.5792562e+01
1.2700000e+02	1.3359348e+06	1.5828328e+01
1.2800000e+02	1.3517284e+06	1.5864036e+01
1.2900000e+02	1.3675160e+06	1.5899685e+01
1.3000000e+02	1.3832669e+06	1.5935275e+01
1.3100000e+02	1.3989500e+06	1.5970806e+01
1.3200000e+02	1.4145346e+06	1.6006279e+01
1.3300000e+02	1.4299897e+06	1.6041693e+01
1.3400000e+02	1.4452845e+06	1.6077049e+01
1.3500000e+02	1.4603881e+06	1.6112346e+01
