---
source: "Data source:"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.0000000e+02	1.3496490e+06	3.0460340e+01
1.0505050e+02	1.4122680e+06	3.0061520e+01
1.1010100e+02	1.4710840e+06	2.9676160e+01
1.1515150e+02	1.5263440e+06	2.9303830e+01
1.2020200e+02	1.5782790e+06	2.8944100e+01
1.2525250e+02	1.6271040e+06	2.8596550e+01
1.3030300e+02	1.6730220e+06	2.8260780e+01
1.3535350e+02	1.7162200e+06	2.7936400e+01
1.4040400e+02	1.7568750e+06	2.7623050e+01
1.4545450e+02	1.7951520e+06	2.7320350e+01
1.5050510e+02	1.8312060e+06	2.7027960e+01
1.5555560e+02	1.8651800e+06	2.6745540e+01
1.6060610e+02	1.8972110e+06	2.6472760e+01
1.6565660e+02	1.9274230e+06	2.6209310e+01
1.7070710e+02	1.9559360e+06	2.5954870e+01
1.7575760e+02	1.9828600e+06	2.5709150e+01
1.8080810e+02	2.0082970e+06	2.5471860e+01
1.8585860e+02	2.0323450e+06	2.5242740e+01
1.9090910e+02	2.0550940e+06	2.5021500e+01
1.9595960e+02	2.0766290e+06	2.4807880e+01
2.0101010e+02	2.0970280e+06	2.4601650e+01
2.0606060e+02	2.1163650e+06	2.4402550e+01
2.1111110e+02	2.1347110e+06	2.4210360e+01
2.1616160e+02	2.1521280e+06	2.4024840e+01
2.2121210e+02	2.1686780e+06	2.3845770e+01
2.2626260e+02	2.1844180e+06	2.3672940e+01
2.3131310e+02	2.1993990e+06	2.3506160e+01
2.3636360e+02	2.2136730e+06	2.3345210e+01
2.4141410e+02	2.2272840e+06	2.3189910e+01
2.4646460e+02	2.2402770e+06	2.3040070e+01
2.5151520e+02	2.2526910e+06	2.2895510e+01
2.5656570e+02	2.2645660e+06	2.2756060e+01
2.6161620e+02	2.2759350e+06	2.2621560e+01
2.6666670e+02	2.2868320e+06	2.2491830e+01
2.7171720e+02	2.2972890e+06	2.2366720e+01
2.7676770e+02	2.3073340e+06	2.2246080e+01
2.8181820e+02	2.3169940e+06	2.2129760e+01
2.8686870e+02	2.3262940e+06	2.2017630e+01
2.9191920e+02	2.3352590e+06	2.1909530e+01
2.9696970e+02	2.3439110e+06	2.1805350e+01
3.0202020e+02	2.3522690e+06	2.1704950e+01
3.0707070e+02	2.3603540e+06	2.1608210e+01
3.1212120e+02	2.3681840e+06	2.1515000e+01
3.1717170e+02	2.3757760e+06	2.1425220e+01
3.2222220e+02	2.3831450e+06	2.1338740e+01
3.2727270e+02	2.3903070e+06	2.1255470e+01
3.3232320e+02	2.3972750e+06	2.1175290e+01
3.3737370e+02	2.4040630e+06	2.1098100e+01
3.4242420e+02	2.4106820e+06	2.1023810e+01
3.4747470e+02	2.4171430e+06	2.0952320e+01
3.5252530e+02	2.4234590e+06	2.0883540e+01
3.5757580e+02	2.4296370e+06	2.0817380e+01
3.6262630e+02	2.4356890e+06	2.0753750e+01
3.6767680e+02	2.4416210e+06	2.0692570e+01
3.7272730e+02	2.4474440e+06	2.0633770e+01
3.7777780e+02	2.4531630e+06	2.0577250e+01
3.8282830e+02	2.4587860e+06	2.0522950e+01
3.8787880e+02	2.4643210e+06	2.0470790e+01
3.9292930e+02	2.4697730e+06	2.0420710e+01
3.9797980e+02	2.4751470e+06	2.0372640e+01
4.0303030e+02	2.4804500e+06	2.0326500e+01
4.0808080e+02	2.4856870e+06	2.0282240e+01
4.1313130e+02	2.4908620e+06	2.0239800e+01
4.1818180e+02	2.4959790e+06	2.0199110e+01
4.2323230e+02	2.5010430e+06	2.0160120e+01
4.2828280e+02	2.5060590e+06	2.0122770e+01
4.3333330e+02	2.5110280e+06	2.0087010e+01
4.3838380e+02	2.5159560e+06	2.0052790e+01
4.4343430e+02	2.5208440e+06	2.0020050e+01
4.4848480e+02	2.5256970e+06	1.9988750e+01
4.5353540e+02	2.5305170e+06	1.9958840e+01
4.5858590e+02	2.5353060e+06	1.9930270e+01
4.6363640e+02	2.5400660e+06	1.9903010e+01
4.6868690e+02	2.5448010e+06	1.9877000e+01
4.7373740e+02	2.5495130e+06	1.9852210e+01
4.7878790e+02	2.5542030e+06	1.9828600e+01
4.8383840e+02	2.5588730e+06	1.9806120e+01
4.8888890e+02	2.5635250e+06	1.9784750e+01
4.9393940e+02	2.5681600e+06	1.9764440e+01
4.9898990e+02	2.5727810e+06	1.9745160e+01
5.0404040e+02	2.5773880e+06	1.9726880e+01
5.0909090e+02	2.5819830e+06	1.9709560e+01
5.1414140e+02	2.5865680e+06	1.9693180e+01
5.1919190e+02	2.5911430e+06	1.9677700e+01
5.2424240e+02	2.5957090e+06	1.9663090e+01
5.2929290e+02	2.6002680e+06	1.9649320e+01
5.3434340e+02	2.6048200e+06	1.9636370e+01
5.3939390e+02	2.6093670e+06	1.9624210e+01
5.4444440e+02	2.6139090e+06	1.9612820e+01
5.4949490e+02	2.6184470e+06	1.9602160e+01
5.5454550e+02	2.6229810e+06	1.9592220e+01
5.5959600e+02	2.6275140e+06	1.9582980e+01
5.6464650e+02	2.6320440e+06	1.9574400e+01
5.6969700e+02	2.6365730e+06	1.9566460e+01
5.7474750e+02	2.6411010e+06	1.9559160e+01
5.7979800e+02	2.6456290e+06	1.9552460e+01
5.8484850e+02	2.6501580e+06	1.9546350e+01
5.8989900e+02	2.6546870e+06	1.9540800e+01
5.9494950e+02	2.6592170e+06	1.9535800e+01
6.0000000e+02	2.6637490e+06	1.9531340e+01
